frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
6338,4859,1,donk,76561198386265483,3,Spirit,malbsMd,76561198080703143,2,G2 Esports,chopper,76561198045898864,3,Spirit,Dual Berettas,pistol,1,0,1,0,0,0,207.254196,-1479.604492,-175.968750,0,0,418.814331,-1695.483765,-221.372437,0,1,0,-999.760437,-2478.380615,-167.968750,0,1,0,0,7.788018,7108f666509fa9d2
6361,4879,1,m0NESY,76561198074762801,2,G2 Esports,donk,76561198386265483,3,Spirit,,0,0,,Glock-18,pistol,1,0,0,0,0,0,340.197357,-1698.553345,-182.063721,0,0,197.273682,-1489.145020,-175.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,6.446062,7108f666509fa9d2
6435,4941,1,m0NESY,76561198074762801,2,G2 Esports,sh1ro,76561198081484775,3,Spirit,,0,0,,Glock-18,pistol,1,0,0,0,0,0,393.417267,-1572.486694,-208.673706,0,0,8.944691,-1609.404419,-170.228149,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,9.861409,7108f666509fa9d2
7263,5654,1,m0NESY,76561198074762801,2,G2 Esports,chopper,76561198045898864,3,Spirit,,0,0,,Dual Berettas,pistol,0,0,0,0,0,0,-1024.038940,-2298.344238,-167.968750,0,0,-1017.215149,-2233.178955,-112.902649,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,2.139204,7108f666509fa9d2
7492,5854,1,zont1x,76561198995880877,3,Spirit,m0NESY,76561198074762801,2,G2 Esports,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1692.012695,-2022.340210,-266.519653,0,0,-1242.472656,-2360.997070,-191.596130,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,14.392974,7108f666509fa9d2
7561,5912,1,zont1x,76561198995880877,3,Spirit,huNter,76561198012872053,2,G2 Esports,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1668.589355,-2048.651855,-263.871582,0,0,-1098.948120,-2491.132080,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,18.476727,7108f666509fa9d2
8601,6824,1,NiKo,76561198041683378,2,G2 Esports,magixx,76561199063238565,3,Spirit,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-139.836548,-2231.213623,-167.968750,0,0,-581.833557,-2216.303955,-179.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,11.381338,7108f666509fa9d2
8679,6869,1,NiKo,76561198041683378,2,G2 Esports,zont1x,76561198995880877,3,Spirit,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-146.124634,-2171.771973,-167.968750,0,0,-399.214661,-2286.652588,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,7.000673,7108f666509fa9d2
13830,10742,2,huNter,76561198012872053,2,G2 Esports,magixx,76561199063238565,3,Spirit,,0,0,,Galil AR,rifle,0,0,0,0,0,0,742.408264,-1578.250244,-257.338684,0,0,121.013664,-1525.928101,-175.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,16.051764,7108f666509fa9d2
16311,12829,2,zont1x,76561198995880877,3,Spirit,Snax,76561197982141573,2,G2 Esports,,0,0,,MP9,smg,1,0,0,0,0,0,-1122.159424,-926.126099,-167.968750,0,0,-1162.225586,-505.477295,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,10.735159,7108f666509fa9d2
