frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
14607,11291,1,donk,76561198386265483,3,Spirit,m0NESY,76561198074762801,2,G2 Esports,,0,0,,Dual Berettas,pistol,1,0,0,0,0,0,-2142.854492,1968.733643,3.801929,0,0,-1949.003174,1678.113525,33.557610,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,8.890676,94af43cd62a85e74
14760,11425,1,malbsMd,76561198080703143,2,G2 Esports,donk,76561198386265483,3,Spirit,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-1957.587891,1604.072510,33.345303,0,0,-2100.521240,1994.763428,2.487515,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,10.593390,94af43cd62a85e74
15054,11678,1,huNter,76561198012872053,2,G2 Esports,zont1x,76561198995880877,3,Spirit,NiKo,76561198041683378,2,G2 Esports,Glock-18,pistol,1,0,0,0,0,0,-1250.699219,2662.151855,125.651932,0,0,-1773.227783,2614.495117,32.158562,0,0,0,-1957.359863,1471.786255,33.994850,0,1,0,0,13.513581,94af43cd62a85e74
15130,11743,1,chopper,76561198045898864,3,Spirit,huNter,76561198012872053,2,G2 Esports,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1628.356934,2628.402832,5.029446,0,0,-1262.955566,2671.068115,130.031250,0,0,0,0.000000,0.000000,0.000000,1,1,0,0,9.840817,94af43cd62a85e74
15424,12006,1,malbsMd,76561198080703143,2,G2 Esports,chopper,76561198045898864,3,Spirit,NiKo,76561198041683378,2,G2 Esports,Glock-18,pistol,1,0,0,0,0,0,-1928.441406,2411.896729,14.509813,0,0,-1609.515991,2646.907471,5.635937,0,0,0,-1978.189331,1718.638428,31.846685,1,0,0,0,10.047632,94af43cd62a85e74
16884,13294,1,magixx,76561199063238565,3,Spirit,malbsMd,76561198080703143,2,G2 Esports,donk,76561198386265483,3,Spirit,USP-S,pistol,1,0,0,0,0,0,-1222.778931,2475.416504,41.719406,0,0,-1323.075684,2205.360840,2.355417,0,0,0,-2099.156982,1995.263184,2.444707,0,0,0,0,7.487236,94af43cd62a85e74
17247,13614,1,sh1ro,76561198081484775,3,Spirit,NiKo,76561198041683378,2,G2 Esports,zont1x,76561198995880877,3,Spirit,USP-S,pistol,0,0,0,0,0,0,-1434.551392,2266.125732,0.031249,0,0,-1994.537354,1725.043335,31.732643,0,0,0,-1773.130371,2613.698486,32.167027,0,0,0,0,19.795191,94af43cd62a85e74
17359,13716,1,Snax,76561197982141573,2,G2 Esports,magixx,76561199063238565,3,Spirit,NiKo,76561198041683378,2,G2 Esports,Glock-18,pistol,0,0,0,0,0,0,-537.165405,2092.059326,-120.378906,0,0,-1270.334717,2379.159912,24.432106,0,0,0,-1994.537354,1725.043335,31.732643,0,0,0,0,20.322239,94af43cd62a85e74
17874,14149,1,Snax,76561197982141573,2,G2 Esports,sh1ro,76561198081484775,3,Spirit,NiKo,76561198041683378,2,G2 Esports,Glock-18,pistol,1,0,0,0,0,0,-1192.751831,2251.161621,3.734768,0,0,-1532.021484,2137.250244,-2.078430,0,0,0,-1994.537354,1725.043335,31.732643,0,0,0,0,9.155672,94af43cd62a85e74
23392,18370,2,magixx,76561199063238565,3,Spirit,NiKo,76561198041683378,2,G2 Esports,,0,0,,MP9,smg,0,0,0,0,0,0,306.356384,1843.077759,97.266342,0,0,350.092316,1384.291748,0.260191,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,11.870975,94af43cd62a85e74
