steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198386265483,donk,3,800,650,950,pistol,1,94af43cd62a85e74
76561198041683378,NiKo,2,800,800,300,pistol,1,94af43cd62a85e74
76561198045898864,chopper,3,800,700,800,pistol,1,94af43cd62a85e74
76561198080703143,malbsMd,2,800,650,850,pistol,1,94af43cd62a85e74
76561198012872053,huNter,2,800,700,1200,pistol,1,94af43cd62a85e74
76561198995880877,zont1x,3,800,650,850,pistol,1,94af43cd62a85e74
76561198081484775,sh1ro,3,800,650,1150,pistol,1,94af43cd62a85e74
76561197982141573,Snax,2,800,700,1100,pistol,1,94af43cd62a85e74
76561198074762801,m0NESY,2,800,650,850,pistol,1,94af43cd62a85e74
76561199063238565,magixx,3,800,700,900,pistol,1,94af43cd62a85e74
76561198012872053,huNter,2,3650,3250,3450,semi,2,94af43cd62a85e74
76561198995880877,zont1x,3,2050,1950,1950,force-buy,2,94af43cd62a85e74
76561198045898864,chopper,3,2300,2150,2150,force-buy,2,94af43cd62a85e74
76561198074762801,m0NESY,2,3400,3300,3500,semi,2,94af43cd62a85e74
76561199063238565,magixx,3,2300,2200,2400,force-buy,2,94af43cd62a85e74
76561198386265483,donk,3,2350,2350,2550,force-buy,2,94af43cd62a85e74
76561198041683378,NiKo,2,3250,3250,3450,semi,2,94af43cd62a85e74
76561198081484775,sh1ro,3,2350,2350,2550,force-buy,2,94af43cd62a85e74
76561198080703143,malbsMd,2,4300,4200,4400,full,2,94af43cd62a85e74
76561197982141573,Snax,2,3950,3700,4100,full,2,94af43cd62a85e74
76561198995880877,zont1x,3,2500,300,300,eco,3,94af43cd62a85e74
76561198081484775,sh1ro,3,2400,200,400,eco,3,94af43cd62a85e74
76561197982141573,Snax,2,3500,2200,4200,full,3,94af43cd62a85e74
76561198074762801,m0NESY,2,3950,3800,5300,full,3,94af43cd62a85e74
76561198012872053,huNter,2,4550,3600,5100,full,3,94af43cd62a85e74
76561198045898864,chopper,3,2550,300,500,eco,3,94af43cd62a85e74
76561198080703143,malbsMd,2,3950,1200,5200,full,3,94af43cd62a85e74
76561199063238565,magixx,3,3100,0,200,eco,3,94af43cd62a85e74
76561198386265483,donk,3,2700,700,700,eco,3,94af43cd62a85e74
76561198041683378,NiKo,2,3250,2200,4200,full,3,94af43cd62a85e74
76561198045898864,chopper,3,5150,5050,4750,full,4,94af43cd62a85e74
76561197982141573,Snax,2,4550,900,4200,full,4,94af43cd62a85e74
76561198074762801,m0NESY,2,4300,700,5400,full,4,94af43cd62a85e74
76561198012872053,huNter,2,4500,1200,5100,full,4,94af43cd62a85e74
76561198081484775,sh1ro,3,5100,4250,6300,full,4,94af43cd62a85e74
76561198080703143,malbsMd,2,6300,200,5200,full,4,94af43cd62a85e74
76561199063238565,magixx,3,6000,6000,4850,full,4,94af43cd62a85e74
76561198386265483,donk,3,4900,4900,5100,full,4,94af43cd62a85e74
76561198041683378,NiKo,2,4300,600,4100,full,4,94af43cd62a85e74
76561198995880877,zont1x,3,5100,5050,5250,full,4,94af43cd62a85e74
76561198045898864,chopper,3,3500,1850,1850,semi,5,94af43cd62a85e74
76561198081484775,sh1ro,3,4650,1700,2200,semi,5,94af43cd62a85e74
76561198080703143,malbsMd,2,9900,4800,5000,full,5,94af43cd62a85e74
76561197982141573,Snax,2,7450,4800,5000,full,5,94af43cd62a85e74
76561198074762801,m0NESY,2,7700,2100,7050,full,5,94af43cd62a85e74
76561199063238565,magixx,3,3700,1750,1750,semi,5,94af43cd62a85e74
76561198386265483,donk,3,3400,2200,2400,semi,5,94af43cd62a85e74
76561198041683378,NiKo,2,7200,4800,5000,full,5,94af43cd62a85e74
76561198995880877,zont1x,3,3750,1900,2100,semi,5,94af43cd62a85e74
76561198012872053,huNter,2,7400,4100,4700,full,5,94af43cd62a85e74
76561198045898864,chopper,3,5050,5050,5050,full,6,94af43cd62a85e74
76561198081484775,sh1ro,3,6350,6250,6750,full,6,94af43cd62a85e74
76561198074762801,m0NESY,2,9200,1100,7350,full,6,94af43cd62a85e74
76561198012872053,huNter,2,8000,1200,5100,full,6,94af43cd62a85e74
76561198386265483,donk,3,5200,2700,5600,full,6,94af43cd62a85e74
76561198041683378,NiKo,2,5900,4800,5000,full,6,94af43cd62a85e74
76561198995880877,zont1x,3,5250,5250,5450,full,6,94af43cd62a85e74
76561198080703143,malbsMd,2,8600,4800,5000,full,6,94af43cd62a85e74
76561197982141573,Snax,2,6150,1200,5100,full,6,94af43cd62a85e74
76561199063238565,magixx,3,5650,5250,5450,full,6,94af43cd62a85e74
76561198045898864,chopper,3,3400,1400,5450,full,7,94af43cd62a85e74
76561198080703143,malbsMd,2,7600,2400,4600,full,7,94af43cd62a85e74
76561197982141573,Snax,2,8450,4800,5000,full,7,94af43cd62a85e74
76561198041683378,NiKo,2,4600,1100,5000,full,7,94af43cd62a85e74
76561198081484775,sh1ro,3,3500,2200,7150,full,7,94af43cd62a85e74
76561198074762801,m0NESY,2,11700,3850,7350,full,7,94af43cd62a85e74
76561198012872053,huNter,2,10300,1200,5100,full,7,94af43cd62a85e74
76561199063238565,magixx,3,3800,3700,5450,full,7,94af43cd62a85e74
76561198386265483,donk,3,6500,1100,5600,full,7,94af43cd62a85e74
76561198995880877,zont1x,3,3400,1350,5800,full,7,94af43cd62a85e74
