frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
796,607,1,76561198063336407,2,Spinx,Kevlar Vest,equipment,01JM61KQVEEA8J7HRRP598ZVJW,0,afd99b702c5aafc4
846,642,1,76561198012872053,3,huNter,Kevlar Vest,equipment,01JM61KQVFV0M9V8B4WENM04A4,0,afd99b702c5aafc4
862,654,1,76561197989744167,2,apEX,Smoke Grenade,grenade,01JM61KQVFV0M9V8B4WJJS1CJM,0,afd99b702c5aafc4
865,657,1,76561197989744167,2,apEX,Flashbang,grenade,01JM61KQVFV0M9V8B4WJRRS5MN,0,afd99b702c5aafc4
871,663,1,76561198041683378,3,NiKo,Kevlar Vest,equipment,01JM61KQVFV0M9V8B4WK56YH0A,0,afd99b702c5aafc4
875,667,1,76561198074762801,3,m0NESY,Kevlar Vest,equipment,01JM61KQVFV0M9V8B4WM53T6KR,0,afd99b702c5aafc4
1098,845,1,76561197972242917,2,JACKZ,P250,pistol,01JM61KQVJDK9S4FXMAJBMFC3D,0,afd99b702c5aafc4
1231,962,1,76561198080703143,3,malbsMd,Kevlar Vest,equipment,01JM61KQVMXN5BSHQXDYBYGWST,0,afd99b702c5aafc4
1302,1024,1,76561197972242917,2,JACKZ,Smoke Grenade,grenade,01JM61KQVN30CM8BC6E1YCREAZ,0,afd99b702c5aafc4
1315,1036,1,76561197972242917,2,JACKZ,Flashbang,grenade,01JM61KQVN30CM8BC6E3XSA1NK,0,afd99b702c5aafc4
1337,1056,1,76561198113666193,2,ZywOo,Kevlar Vest,equipment,01JM61KQVN30CM8BC6E6TA95W2,0,afd99b702c5aafc4
2192,1776,1,76561197978835160,2,flameZ,Kevlar Vest,equipment,01JM61KQW19V7XE1MBCB3Y222B,0,afd99b702c5aafc4
16278,13528,2,76561197982141573,3,Snax,M4A1,rifle,01JM61KRAT6JP5SRJ06PHEKMQP,0,afd99b702c5aafc4
16286,13536,2,76561198080703143,3,malbsMd,Kevlar + Helmet,equipment,01JM61KRAT6JP5SRJ06QWCPE1D,0,afd99b702c5aafc4
16406,13614,2,76561197982141573,3,Snax,Kevlar + Helmet,equipment,01JM61KRAW6YYYR8SNN4W83RPR,0,afd99b702c5aafc4
16448,13642,2,76561197982141573,3,Snax,Smoke Grenade,grenade,01JM61KRAW6YYYR8SNN5643ZAM,0,afd99b702c5aafc4
16634,13784,2,76561198041683378,3,NiKo,Kevlar + Helmet,equipment,01JM61KRAYF2VS0PP9N46F06SJ,0,afd99b702c5aafc4
16672,13806,2,76561198080703143,3,malbsMd,FAMAS,rifle,01JM61KRAZQ8Q37TZHSH14FRCT,0,afd99b702c5aafc4
16676,13809,2,76561198041683378,3,NiKo,MP9,smg,01JM61KRAZQ8Q37TZHSNKWTEZQ,0,afd99b702c5aafc4
16710,13831,2,76561198041683378,3,NiKo,Smoke Grenade,grenade,01JM61KRB0R0THZ7VG08MQ4VK0,0,afd99b702c5aafc4
16710,13831,2,76561198080703143,3,malbsMd,Incendiary Grenade,grenade,01JM61KRAZQ8Q37TZHSJW071YA,0,afd99b702c5aafc4
16722,13840,2,76561198080703143,3,malbsMd,HE Grenade,grenade,01JM61KRB1KA85SQYHWD8S3HVF,1,afd99b702c5aafc4
16726,13844,2,76561198012872053,3,huNter,Kevlar + Helmet,equipment,01JM61KRB1KA85SQYHWF3WBKTD,0,afd99b702c5aafc4
16801,13903,2,76561198012872053,3,huNter,MP9,smg,01JM61KRB2S040YBV0D8AT109T,0,afd99b702c5aafc4
16811,13908,2,76561198080703143,3,malbsMd,Smoke Grenade,grenade,01JM61KRB3NGSHQZK0Z5ZJ38W3,0,afd99b702c5aafc4
16827,13919,2,76561198080703143,3,malbsMd,Flashbang,grenade,01JM61KQVDF8AYS9EH4A77EBF2,0,afd99b702c5aafc4
16838,13928,2,76561198012872053,3,huNter,Smoke Grenade,grenade,01JM61KQVAS6X37W2QMGN212TF,0,afd99b702c5aafc4
16864,13946,2,76561198012872053,3,huNter,Incendiary Grenade,grenade,01JM61KQVAS6X37W2QMGGXJ57Y,0,afd99b702c5aafc4
16877,13958,2,76561198012872053,3,huNter,HE Grenade,grenade,01JM61KRB3NGSHQZK0Z7AFJ2DS,0,afd99b702c5aafc4
17466,14389,2,76561198074762801,3,m0NESY,SSG 08,sniper,01JM61KRBC7JER7VY2T2QF9H8B,1,afd99b702c5aafc4
17475,14397,2,76561198074762801,3,m0NESY,Kevlar + Helmet,equipment,01JM61KRBC7JER7VY2T3BX56ZM,0,afd99b702c5aafc4
21890,18036,3,76561198080703143,3,malbsMd,Incendiary Grenade,grenade,01JM61KRK501702BSX92N2SE0A,0,afd99b702c5aafc4
21899,18042,3,76561197972242917,2,JACKZ,AK-47,rifle,01JM61KRK501702BSX96M75TNA,0,afd99b702c5aafc4
21915,18052,3,76561198080703143,3,malbsMd,Smoke Grenade,grenade,01JM61KRK6Q9JC88MS08AE2N2D,0,afd99b702c5aafc4
21917,18053,3,76561198041683378,3,NiKo,Flashbang,grenade,01JM61KRK6Q9JC88MS09D3RSPF,0,afd99b702c5aafc4
21941,18070,3,76561198041683378,3,NiKo,Incendiary Grenade,grenade,01JM61KRK6Q9JC88MS09HZM4VS,0,afd99b702c5aafc4
21942,18071,3,76561197972242917,2,JACKZ,Kevlar + Helmet,equipment,01JM61KRK6Q9JC88MS0D9H9ESY,0,afd99b702c5aafc4
21949,18075,3,76561198012872053,3,huNter,HE Grenade,grenade,01JM61KRK6Q9JC88MS0HBE9H2P,0,afd99b702c5aafc4
21954,18080,3,76561197989744167,2,apEX,AK-47,rifle,01JM61KRK6Q9JC88MS0NHFCWQY,0,afd99b702c5aafc4
21958,18084,3,76561198012872053,3,huNter,Incendiary Grenade,grenade,01JM61KRK6Q9JC88MS0PWGEXBD,0,afd99b702c5aafc4
21980,18099,3,76561197989744167,2,apEX,Kevlar + Helmet,equipment,01JM61KRK72EV7V83P1E605AF2,0,afd99b702c5aafc4
21981,18100,3,76561198080703143,3,malbsMd,HE Grenade,grenade,01JM61KRK72EV7V83P1HME2YTV,0,afd99b702c5aafc4
21986,18103,3,76561198012872053,3,huNter,Flashbang,grenade,01JM61KRK72EV7V83P1MY6JVVF,0,afd99b702c5aafc4
22005,18115,3,76561197989744167,2,apEX,Smoke Grenade,grenade,01JM61KRK8PH67P3JX2S2EGW98,0,afd99b702c5aafc4
22019,18124,3,76561198080703143,3,malbsMd,Defuse Kit,equipment,01JM61KRK8PH67P3JX2WP6B61R,0,afd99b702c5aafc4
22022,18127,3,76561197989744167,2,apEX,Flashbang,grenade,01JM61KRK8PH67P3JX2WW5318H,0,afd99b702c5aafc4
22235,18280,3,76561198041683378,3,NiKo,Defuse Kit,equipment,01JM61KRKBPZZAX2TMNZSAXFG3,0,afd99b702c5aafc4
22248,18288,3,76561197982141573,3,Snax,HE Grenade,grenade,01JM61KRKBPZZAX2TMP3E3AYVM,0,afd99b702c5aafc4
22267,18298,3,76561197982141573,3,Snax,Incendiary Grenade,grenade,01JM61KRKCFCPH8MXCQBRPVAS3,0,afd99b702c5aafc4
22301,18319,3,76561197972242917,2,JACKZ,Molotov,grenade,01JM61KRKCFCPH8MXCQCVQX15B,0,afd99b702c5aafc4
22334,18335,3,76561197972242917,2,JACKZ,Smoke Grenade,grenade,01JM61KRKD6GQED9JR8XGBMH6W,0,afd99b702c5aafc4
22424,18389,3,76561197982141573,3,Snax,Flashbang,grenade,01JM61KRKE14BW3YGJ2H7ABN90,0,afd99b702c5aafc4
22470,18423,3,76561198113666193,2,ZywOo,AK-47,rifle,01JM61KRKF8MBQ1V80V0V5VQDX,0,afd99b702c5aafc4
22472,18425,3,76561198113666193,2,ZywOo,Kevlar + Helmet,equipment,01JM61KRKF8MBQ1V80V3GN963J,0,afd99b702c5aafc4
22589,18522,3,76561198113666193,2,ZywOo,Molotov,grenade,01JM61KRKHCC5JJT82H7NCHM3R,0,afd99b702c5aafc4
22626,18550,3,76561198113666193,2,ZywOo,Smoke Grenade,grenade,01JM61KRKHCC5JJT82HAXTASBR,0,afd99b702c5aafc4
22671,18579,3,76561197978835160,2,flameZ,AK-47,rifle,01JM61KRKJ95Y4E7508H8HGDNQ,0,afd99b702c5aafc4
22699,18591,3,76561198113666193,2,ZywOo,Flashbang,grenade,01JM61KRKJ95Y4E7508K45DDCD,0,afd99b702c5aafc4
22700,18592,3,76561197978835160,2,flameZ,Kevlar + Helmet,equipment,01JM61KRKJ95Y4E7508MB1Z08A,0,afd99b702c5aafc4
22719,18603,3,76561197972242917,2,JACKZ,Flashbang,grenade,01JM61KRKKCZQB6CKVBKVCC0BC,0,afd99b702c5aafc4
22729,18609,3,76561197978835160,2,flameZ,Smoke Grenade,grenade,01JM61KRKKCZQB6CKVBPAJWZMB,0,afd99b702c5aafc4
22739,18618,3,76561197978835160,2,flameZ,Molotov,grenade,01JM61KRKKCZQB6CKVBSTVN6AM,0,afd99b702c5aafc4
22999,18791,3,76561198063336407,2,Spinx,AK-47,rifle,01JM61KRKRT0B2K9W4FSJFKG0F,0,afd99b702c5aafc4
23030,18813,3,76561198063336407,2,Spinx,Kevlar + Helmet,equipment,01JM61KRKSPNQV098W7FXTWEN8,0,afd99b702c5aafc4
23250,18967,3,76561198063336407,2,Spinx,Smoke Grenade,grenade,01JM61KRKXK00JT1N68ADTV2QG,0,afd99b702c5aafc4
23337,19035,3,76561198074762801,3,m0NESY,Incendiary Grenade,grenade,01JM61KRKZ1P918SAMQSWPEAQ3,0,afd99b702c5aafc4
28446,23112,4,76561198113666193,2,ZywOo,Molotov,grenade,01JM61KRWR32KKB42P8XZTR5PK,0,afd99b702c5aafc4
28465,23125,4,76561198113666193,2,ZywOo,Flashbang,grenade,01JM61KRWSBWCDDE89ZBEFD0Z5,0,afd99b702c5aafc4
28669,23246,4,76561198041683378,3,NiKo,AWP,sniper,01JM61KRK6Q9JC88MS0EW5FKBA,0,afd99b702c5aafc4
28830,23358,4,76561198041683378,3,NiKo,Kevlar Vest,equipment,01JM61KRWY0NNY6EMX4QGTD9YE,0,afd99b702c5aafc4
28844,23368,4,76561198074762801,3,m0NESY,M4A1,rifle,01JM61KRWY0NNY6EMX4RAYGP2S,0,afd99b702c5aafc4
28929,23418,4,76561198041683378,3,NiKo,Smoke Grenade,grenade,01JM61KRWZTP72ZWBF80T9YN72,0,afd99b702c5aafc4
28970,23448,4,76561197989744167,2,apEX,Kevlar + Helmet,equipment,01JM61KRX01Z55SWFE5HA089A7,0,afd99b702c5aafc4
28980,23457,4,76561198041683378,3,NiKo,Incendiary Grenade,grenade,01JM61KRX01Z55SWFE5JRKG55M,0,afd99b702c5aafc4
