frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
28348,24170,2,76561198041683378,3,NiKo,Kevlar + Helmet,equipment,01JM61MJC5D4SG6GYDC7ZXBA88,0,8daa396e113e118c
28358,24178,2,76561198074762801,3,m0NESY,Kevlar + Helmet,equipment,01JM61MJC5D4SG6GYDC9KTT9TA,0,8daa396e113e118c
28382,24196,2,76561198041683378,3,NiKo,M4A1,rifle,01JM61MJC61RS1VAZH039PN2PX,0,8daa396e113e118c
28447,24253,2,76561198080703143,3,malbsMd,Kevlar + Helmet,equipment,01JM61MJC7H6S4K4AKHKMX6TQQ,0,8daa396e113e118c
28478,24269,2,76561198080703143,3,malbsMd,MP9,smg,01JM61MJC0E8TKK8MG4J32SX12,0,8daa396e113e118c
28506,24291,2,76561198080703143,3,malbsMd,Incendiary Grenade,grenade,01JM61MJC1S2F9FD1GFH0831PE,0,8daa396e113e118c
28519,24301,2,76561198080703143,3,malbsMd,HE Grenade,grenade,01JM61MHZ2PVN8KTZ276QY0X77,0,8daa396e113e118c
28535,24310,2,76561198080703143,3,malbsMd,Smoke Grenade,grenade,01JM61MJC1S2F9FD1GFHXR8XMA,0,8daa396e113e118c
28548,24318,2,76561198080703143,3,malbsMd,Flashbang,grenade,01JM61MJC1S2F9FD1GFJMGT9XN,0,8daa396e113e118c
28585,24345,2,76561198074762801,3,m0NESY,M4A1,rifle,01JM61MJC0E8TKK8MG4R5QRPE3,0,8daa396e113e118c
28618,24363,2,76561198074762801,3,m0NESY,Smoke Grenade,grenade,01JM61MHYZBBF9EW0REE7AZFNF,0,8daa396e113e118c
28719,24415,2,76561198012872053,3,huNter,Kevlar + Helmet,equipment,01JM61MJCDVYEPHSPSMZ8FQZD1,0,8daa396e113e118c
28728,24420,2,76561197982141573,3,Snax,MP9,smg,01JM61MHWW6CT45T7DXQM8ASKP,0,8daa396e113e118c
28762,24440,2,76561197982141573,3,Snax,Kevlar + Helmet,equipment,01JM61MJCETCY58H1YCK05YZZX,0,8daa396e113e118c
28772,24447,2,76561198012872053,3,huNter,Smoke Grenade,grenade,01JM61MJCETCY58H1YCN5S5FBM,0,8daa396e113e118c
28806,24470,2,76561197982141573,3,Snax,Smoke Grenade,grenade,01JM61MJCETCY58H1YCQPY916J,0,8daa396e113e118c
28818,24481,2,76561197982141573,3,Snax,HE Grenade,grenade,01JM61MJCF2645944DZFV2KP92,0,8daa396e113e118c
28830,24490,2,76561197982141573,3,Snax,Incendiary Grenade,grenade,01JM61MJCF2645944DZJX7YBCN,0,8daa396e113e118c
28846,24502,2,76561197982141573,3,Snax,Flashbang,grenade,01JM61MJCF2645944DZN5R8XQA,0,8daa396e113e118c
28908,24548,2,76561198012872053,3,huNter,M4A1,rifle,01JM61MJCGWYH1F8QBEB69N27F,0,8daa396e113e118c
29176,24761,2,76561198113666193,2,ZywOo,Smoke Grenade,grenade,01JM61MJCKY6WNX3H702J5X0WS,0,8daa396e113e118c
29257,24815,2,76561197989744167,2,apEX,Tec-9,pistol,01JM61MJCNNVN46AYSB53G05M2,0,8daa396e113e118c
29344,24871,2,76561198113666193,2,ZywOo,Desert Eagle,pistol,01JM61MJCQZHJRQKD8EVEJH4AY,0,8daa396e113e118c
29386,24894,2,76561198113666193,2,ZywOo,Kevlar Vest,equipment,01JM61MJCRSQ2P64EVG148MJW8,0,8daa396e113e118c
29407,24912,2,76561197989744167,2,apEX,Kevlar + Helmet,equipment,01JM61MJCRSQ2P64EVG3HSR2RM,0,8daa396e113e118c
29556,25017,2,76561197989744167,2,apEX,Smoke Grenade,grenade,01JM61MJCTHPAGC2748D1DK39Z,0,8daa396e113e118c
29557,25018,2,76561197989744167,2,apEX,Flashbang,grenade,01JM61MJCTHPAGC2748G44D84N,0,8daa396e113e118c
29568,25026,2,76561197989744167,2,apEX,HE Grenade,grenade,01JM61MJCTHPAGC2748M0YY7ZP,0,8daa396e113e118c
29579,25033,2,76561197972242917,2,JACKZ,MAC-10,smg,01JM61MJCTHPAGC2748NX78VCK,0,8daa396e113e118c
29632,25075,2,76561197972242917,2,JACKZ,Kevlar + Helmet,equipment,01JM61MJCVMYYZ1KBVKDE14EF9,0,8daa396e113e118c
