number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,572,721,8626,11305,12433,15757,12881,16425,Liquid,Vitality,1,0,3,2,4000,4000,4250,4750,3450,3350,pistol,pistol,187940,7,Liquid,3,0,6cd242073d19497b
2,12881,16425,14161,18212,19901,24907,20349,25578,Liquid,Vitality,1,1,3,2,19850,14050,18900,14200,17800,13600,semi,force-buy,106019,1,Vitality,2,0,6cd242073d19497b
3,20349,25578,21629,27510,26460,33345,26908,34025,Liquid,Vitality,2,1,3,2,9950,19450,13300,23950,9650,10850,force-buy,full,97082,8,Liquid,3,0,6cd242073d19497b
4,26908,34025,28188,35915,36054,45234,36502,45877,Liquid,Vitality,3,1,3,2,18050,16200,25650,16700,12450,15800,full,force-buy,140105,7,Liquid,3,0,6cd242073d19497b
5,36502,45877,37782,47640,42170,52833,42618,53527,Liquid,Vitality,4,1,3,2,25200,14100,25250,9050,14950,5750,full,semi,86945,8,Liquid,3,0,6cd242073d19497b
6,42618,53527,43898,55371,50200,62911,50648,63571,Liquid,Vitality,4,2,3,2,28600,20650,29350,21800,9650,20200,full,full,117294,9,Vitality,2,0,6cd242073d19497b
7,53204,66894,54484,68660,63156,79031,63604,79637,Liquid,Vitality,5,2,3,2,26550,18500,26500,25600,25500,12900,full,full,151705,7,Liquid,3,0,6cd242073d19497b
8,65606,82324,66886,84087,75113,93699,75561,94327,Liquid,Vitality,5,3,3,2,19750,19300,28250,19000,16350,18400,full,force-buy,142180,9,Vitality,2,0,6cd242073d19497b
9,75561,94327,76841,96191,82834,103373,83282,104081,Liquid,Vitality,5,4,3,2,11200,18950,11250,21250,10850,16650,force-buy,full,113069,1,Vitality,2,0,6cd242073d19497b
10,83282,104081,84562,105950,87282,109269,87730,109973,Liquid,Vitality,5,5,3,2,10750,21300,2450,25900,200,12800,eco,full,64846,9,Vitality,2,0,6cd242073d19497b
11,87730,109973,89010,111648,95330,119164,95778,119810,Liquid,Vitality,5,6,3,2,22850,26250,23550,25900,22550,7000,full,full,114881,1,Vitality,2,0,6cd242073d19497b
12,95778,119810,97058,121635,102662,128360,103622,129592,Liquid,Vitality,6,6,3,2,15400,37950,24000,25900,15000,12200,full,full,106869,8,Liquid,3,0,6cd242073d19497b
13,103622,129592,116970,146441,120937,151132,121385,151750,Liquid,Vitality,6,7,2,3,4000,4000,4250,4200,3450,3400,pistol,pistol,269236,8,Vitality,3,0,6cd242073d19497b
14,121385,151750,122665,153577,129284,161327,129732,161946,Liquid,Vitality,7,7,2,3,10350,18350,9650,20550,9650,17950,force-buy,semi,119706,1,Liquid,2,0,6cd242073d19497b
15,129732,161946,131012,163730,140597,175130,141045,175769,Liquid,Vitality,8,7,2,3,19400,7700,25300,14950,11850,7100,full,force-buy,164791,1,Liquid,2,0,6cd242073d19497b
16,141045,175769,142325,177552,143874,179420,144322,180102,Liquid,Vitality,9,7,2,3,26350,10400,25150,4250,7450,1200,full,eco,45635,9,Liquid,2,0,6cd242073d19497b
17,144322,180102,145602,181920,150068,187229,150516,187862,Liquid,Vitality,10,7,2,3,36950,21800,23300,22700,4150,21300,full,full,89083,9,Liquid,2,0,6cd242073d19497b
18,152880,190928,154160,192725,158631,198147,159079,198833,Liquid,Vitality,11,7,2,3,50850,16200,25700,7200,20400,6800,full,semi,90233,9,Liquid,2,0,6cd242073d19497b
19,159079,198833,160359,200661,167719,209562,168167,210191,Liquid,Vitality,11,8,2,3,48200,27900,27150,28500,22950,27200,full,full,134105,12,Vitality,3,0,6cd242073d19497b
20,171236,214219,172516,216075,179876,224892,180324,225568,Liquid,Vitality,11,9,2,3,29850,17650,26750,28600,16500,13300,full,full,133405,12,Vitality,3,0,6cd242073d19497b
21,180324,225568,181604,227374,191013,238756,191461,239385,Liquid,Vitality,12,9,2,3,21250,21600,23400,29300,18300,10300,full,full,164841,1,Liquid,2,0,6cd242073d19497b
22,194040,242706,195320,244575,202680,253577,203128,254238,Liquid,Vitality,12,10,2,3,21350,23300,25200,30100,5200,13450,full,full,135880,12,Vitality,3,0,6cd242073d19497b
23,203128,254238,204408,256082,210609,263568,210609,263568,Liquid,Vitality,13,10,2,3,19950,21950,25250,31850,19750,15150,full,full,116619,9,Liquid,2,0,6cd242073d19497b
