name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
apEX,76561197989744167,17,Vitality,7,4,17,4,57,0.411765,54.166668,37.833332,0.291667,0.708333,2.500000,1,-1,0,0,0,0,0,0,908,140,60,5,8,7,9,7,1,2,1,0,0,4,6,6,9,7,2,5,2,2,0,2,3,0,0,1,0,0.469163,0.627242,CSGO-QMqda-zEtxq-cZT5Y-8vNOy-tDu8O,0,0,711139ec6e55fd91
JACKZ,76561197972242917,37,Vitality,16,6,16,7,43,1.000000,66.666672,71.750000,0.666667,0.666667,0.083333,3,-1,0,0,0,0,0,0,1722,230,2,4,7,6,8,6,1,2,1,0,0,3,5,5,8,6,1,1,2,4,0,0,5,4,1,0,0,1.023578,0.998800,CSGO-Yqavz-SQN6Z-oXeaO-suBPJ-eX8SA,2,0,711139ec6e55fd91
NAF-FLY,76561198001151695,45,Liquid,16,7,13,7,43,1.230769,87.500000,82.708336,0.666667,0.541667,4.250000,4,-1,0,0,0,2,0,0,1985,301,102,9,12,11,13,11,2,3,2,1,1,7,9,9,12,10,2,3,1,4,0,1,6,5,0,0,0,1.281492,1.052693,CSGO-J29Jc-WDCwx-VdLUG-szY5O-33LsE,0,0,711139ec6e55fd91
ZywOo,76561198113666193,63,Vitality,23,7,12,10,43,1.916667,75.000000,92.250000,0.958333,0.500000,1.666667,5,-1,0,0,0,3,0,0,2214,298,40,4,7,6,8,6,2,3,2,1,1,2,4,4,7,5,3,2,4,3,0,1,6,5,1,1,0,1.495077,1.547980,CSGO-ANT8u-PzheP-HWC5Y-8vNOy-tDu8O,1,0,711139ec6e55fd91
Spinx,76561198063336407,31,Vitality,11,7,18,5,45,0.611111,83.333328,61.875000,0.458333,0.750000,3.833333,1,-1,0,0,0,2,0,0,1485,289,92,6,9,8,10,8,1,2,1,0,0,5,7,7,10,8,1,3,3,4,0,1,7,2,0,0,0,0.893317,0.635737,CSGO-7dqxH-3n2pw-4dFz5-uMxfU-hiA6Q,4,0,711139ec6e55fd91
ultimate,76561198283989223,31,Liquid,14,4,16,9,64,0.875000,75.000000,49.416668,0.583333,0.666667,1.458333,1,-1,0,0,0,0,0,0,1186,144,35,5,8,7,9,7,2,3,2,1,1,3,5,5,8,6,0,2,4,3,0,0,10,2,0,0,0,0.932615,0.808329,CSGO-MtWJv-ikNkn-daUrV-zXHeX-cBNfN,4,0,711139ec6e55fd91
Twistzz,76561198016255205,37,Liquid,17,5,18,8,47,0.944444,79.166672,73.875000,0.708333,0.750000,4.750000,2,-1,0,0,0,1,0,0,1773,220,114,5,8,7,9,7,1,2,1,0,0,4,6,6,9,7,4,2,6,6,0,1,4,4,0,0,1,1.109083,1.134643,CSGO-q99Hx-U4kaC-ADdXa-5ie6O-udBAA,1,0,711139ec6e55fd91
jks,76561197977105184,47,Liquid,22,4,17,18,81,1.294118,70.833328,102.125000,0.916667,0.708333,2.750000,3,-1,0,0,0,0,0,0,2451,482,66,7,10,9,11,9,1,2,1,0,0,6,8,8,11,9,5,2,2,2,0,0,5,4,3,0,0,1.336772,1.318613,CSGO-Zrcuq-45WTL-8GQo4-EwP2y-eGhnL,2,0,711139ec6e55fd91
flameZ,76561197978835160,48,Vitality,25,3,19,10,40,1.315789,87.500000,99.166664,1.041667,0.791667,0.000000,3,-1,0,0,0,0,0,0,2380,404,0,7,10,9,11,9,2,3,2,1,1,5,7,7,10,8,5,1,5,5,0,0,11,4,2,0,0,1.508455,1.282387,CSGO-6GTQz-fG2FY-HwPO8-TbT3i-vfrVQ,3,0,711139ec6e55fd91
YEKINDAR,76561198134401925,35,Liquid,13,6,18,7,53,0.722222,70.833328,57.583332,0.541667,0.750000,5.666667,1,-1,0,0,0,1,0,0,1382,212,136,4,7,6,8,6,1,2,1,0,0,3,5,5,8,6,1,3,3,4,0,0,9,2,0,0,0,0.856211,0.705362,CSGO-ufZUO-V27Te-WQRmC-LhG9C-6AU8N,3,0,711139ec6e55fd91
