frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
22571,18095,1,3,2,0,76561197997351207,rain,0,0,b293a59fe730997a
27117,21378,2,5,2,0,76561197997351207,rain,0,0,b293a59fe730997a
37234,29308,3,3,3,0,76561198855375325,Jimpphat,1,0,b293a59fe730997a
65036,51641,5,2,3,0,76561198138828475,Brollan,1,0,b293a59fe730997a
93878,74815,7,2,3,0,76561198355739212,torzsi,1,0,b293a59fe730997a
102606,81555,8,4,2,0,76561198201620490,broky,0,0,b293a59fe730997a
112550,89215,9,4,2,0,76561197991272318,ropz,0,1,b293a59fe730997a
118699,94005,10,4,2,0,76561198068422762,frozen,0,1,b293a59fe730997a
127795,101130,11,3,2,0,76561197997351207,rain,0,0,b293a59fe730997a
136345,107718,12,3,3,0,76561198355739212,torzsi,0,0,b293a59fe730997a
158228,124916,13,4,2,0,76561198355739212,torzsi,0,2,b293a59fe730997a
168444,133208,14,5,2,0,76561198355739212,torzsi,0,0,b293a59fe730997a
177768,140492,15,2,3,0,76561198068422762,frozen,0,0,b293a59fe730997a
193595,153360,16,3,3,0,76561197991272318,ropz,1,0,b293a59fe730997a
202400,160397,17,4,3,0,76561198201620490,broky,0,0,b293a59fe730997a
209661,165920,18,4,2,0,76561198150673360,siuhy,0,0,b293a59fe730997a
220004,174191,19,3,2,0,76561198150673360,siuhy,0,0,b293a59fe730997a
227814,180302,20,5,2,0,76561198150673360,siuhy,0,0,b293a59fe730997a
243395,192263,21,2,3,0,76561198201620490,broky,0,0,b293a59fe730997a
257317,202892,22,3,2,0,76561198355739212,torzsi,0,1,b293a59fe730997a
262565,206786,23,3,2,0,76561198355739212,torzsi,0,0,b293a59fe730997a
270436,212771,24,4,3,0,76561198068422762,frozen,0,0,b293a59fe730997a
277242,218065,25,3,2,0,76561198855375325,Jimpphat,0,0,b293a59fe730997a
285972,224553,26,5,3,0,76561198068422762,frozen,0,0,b293a59fe730997a
296123,232518,27,4,3,0,76561198068422762,frozen,0,0,b293a59fe730997a
307038,241072,28,4,2,0,76561198201620490,broky,0,0,b293a59fe730997a
315572,247551,29,3,2,0,76561197991272318,ropz,0,1,b293a59fe730997a
