frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
7828,6429,1,jabbi,76561198120557348,3,Astralis,Aleksib,76561198013243326,2,Natus Vincere,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1581.231934,243.519928,-169.360474,0,0,-970.494446,295.174347,-166.627319,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,15.673832,6c692080c5f6abee
7980,6554,1,jL,76561198176878303,2,Natus Vincere,jabbi,76561198120557348,3,Astralis,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-1667.025146,708.913269,-47.968750,0,0,-1564.722656,319.751740,-168.852539,0,0,0,0.000000,0.000000,0.000000,1,1,0,0,10.674075,6c692080c5f6abee
8044,6615,1,dev1ce,76561197987713664,3,Astralis,jL,76561198176878303,2,Natus Vincere,,0,0,,Dual Berettas,pistol,1,0,0,0,0,0,-2283.094482,779.906738,-125.786743,0,0,-1692.302368,717.622681,-47.968750,0,0,0,0.000000,0.000000,0.000000,1,1,0,0,15.223560,6c692080c5f6abee
8246,6794,1,iM,76561198050250233,2,Natus Vincere,dev1ce,76561197987713664,3,Astralis,w0nderful,76561199063068840,2,Natus Vincere,Glock-18,pistol,1,0,0,0,0,0,-1641.427368,-99.695190,-169.286743,0,0,-2212.226318,805.942810,-124.458435,0,0,0,-1443.831299,720.558899,-47.968750,1,0,0,0,27.279369,6c692080c5f6abee
9791,8146,1,iM,76561198050250233,2,Natus Vincere,cadiaN,76561198004115516,3,Astralis,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-2166.230469,129.059891,-159.968750,0,0,-1747.287231,-612.355042,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,21.629530,6c692080c5f6abee
9970,8303,1,iM,76561198050250233,2,Natus Vincere,stavn,76561198022365638,3,Astralis,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-2258.066162,22.845778,-167.968750,0,1,-2320.228516,-429.384216,-167.968750,0,1,0,0.000000,0.000000,0.000000,0,0,0,0,11.588894,6c692080c5f6abee
10163,8473,1,Staehr,76561198005107817,3,Astralis,w0nderful,76561199063068840,2,Natus Vincere,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1762.949463,-208.560181,-167.668884,0,0,-2326.876221,-177.244019,-164.502808,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,14.337940,6c692080c5f6abee
11036,9182,1,iM,76561198050250233,2,Natus Vincere,Staehr,76561198005107817,3,Astralis,b1t,76561198246607476,2,Natus Vincere,Glock-18,pistol,1,0,0,0,0,0,-2582.722168,460.201813,-167.866028,0,0,-2206.190674,577.999939,-154.467773,0,0,0,-2341.470459,507.187836,-167.968750,0,0,0,0,10.021919,6c692080c5f6abee
15760,12670,2,cadiaN,76561198004115516,3,Astralis,iM,76561198050250233,2,Natus Vincere,,0,0,,Desert Eagle,pistol,1,0,0,0,0,0,-2165.405518,-219.423523,-165.198242,0,0,-1680.013306,-198.075745,-167.968994,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,12.341842,6c692080c5f6abee
18089,14651,2,stavn,76561198022365638,3,Astralis,jL,76561198176878303,2,Natus Vincere,cadiaN,76561198004115516,3,Astralis,Five-SeveN,pistol,1,0,0,0,0,0,-2288.134521,-448.335815,-167.968750,0,0,-2363.562012,777.531860,-80.968750,0,0,0,-494.478882,371.521698,-158.948364,0,0,1,0,31.305065,6c692080c5f6abee
18578,15086,2,w0nderful,76561199063068840,2,Natus Vincere,stavn,76561198022365638,3,Astralis,jL,76561198176878303,2,Natus Vincere,Galil AR,rifle,0,0,0,0,0,0,-2501.977051,140.887207,-165.755798,0,0,-1911.943604,-86.189148,-165.718750,0,0,0,-2363.562012,777.531860,-80.968750,0,0,1,0,16.138519,6c692080c5f6abee
18807,15285,2,w0nderful,76561199063068840,2,Natus Vincere,dev1ce,76561197987713664,3,Astralis,jL,76561198176878303,2,Natus Vincere,Galil AR,rifle,0,1,0,0,0,0,-2518.745361,194.784042,-167.149658,0,0,-1873.765869,-312.008789,-167.968750,0,0,0,-2363.562012,777.531860,-80.968750,0,0,1,0,20.821587,6c692080c5f6abee
18860,15326,2,w0nderful,76561199063068840,2,Natus Vincere,Staehr,76561198005107817,3,Astralis,,0,0,,Galil AR,rifle,1,0,0,0,0,0,-2518.254150,193.761932,-167.121338,0,0,-2285.347656,72.767662,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,6.660770,6c692080c5f6abee
18923,15378,2,jabbi,76561198120557348,3,Astralis,Aleksib,76561198013243326,2,Natus Vincere,,0,0,,MP9,smg,0,0,0,0,0,0,-2090.439453,456.939819,-159.968750,0,0,-1957.600952,547.246338,-106.144043,1,0,0,0.000000,0.000000,0.000000,0,1,0,0,4.277320,6c692080c5f6abee
19075,15492,2,b1t,76561198246607476,2,Natus Vincere,cadiaN,76561198004115516,3,Astralis,iM,76561198050250233,2,Natus Vincere,Galil AR,rifle,1,0,0,0,0,0,-1407.886841,356.798523,-167.968750,0,0,-1684.109253,703.462585,-47.968750,0,0,0,-1680.080322,-197.039673,-167.968994,0,0,0,0,11.609506,6c692080c5f6abee
