frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
1808,1499,1,76561197997351207,2,rain,Kevlar Vest,equipment,01JM61TNF94ZZ41EBKVNZT1478,0,ec6d6c73b46d11c0
1811,1502,1,76561198201620490,2,broky,Kevlar Vest,equipment,01JM61TNF94ZZ41EBKVSEZ6V8Z,0,ec6d6c73b46d11c0
1908,1573,1,76561198041683378,3,NiKo,Kevlar Vest,equipment,01JM61TNFB6WMVPJTZY603EPKC,0,ec6d6c73b46d11c0
1918,1581,1,76561198074762801,3,m0NESY,Kevlar Vest,equipment,01JM61TNFB6WMVPJTZY8GRBVFY,0,ec6d6c73b46d11c0
2043,1688,1,76561197991272318,2,ropz,Kevlar Vest,equipment,01JM61TNFEFKX571RCM7ECXK5F,0,ec6d6c73b46d11c0
2228,1808,1,76561197982141573,3,Snax,Kevlar Vest,equipment,01JM61TNFH91RPP2S9AAQ8ADV4,0,ec6d6c73b46d11c0
2273,1840,1,76561197989430253,2," karrigan",Smoke Grenade,grenade,01JM61TNFJKYPDMBW10K8E40NM,0,ec6d6c73b46d11c0
2314,1872,1,76561197989430253,2," karrigan",Flashbang,grenade,01JM61TNFJKYPDMBW10KBCC15S,0,ec6d6c73b46d11c0
2461,1972,1,76561198080703143,3,malbsMd,Kevlar Vest,equipment,01JM61TNFNM6RM6NATJNGVKGSZ,0,ec6d6c73b46d11c0
2751,2205,1,76561198068422762,2,frozen,Kevlar Vest,equipment,01JM61TNFSE9ZSDCCSXASZGSND,0,ec6d6c73b46d11c0
2825,2258,1,76561198068422762,2,frozen,Decoy Grenade,grenade,01JM61TNFT5W7FX9RZ4FYDG3HA,0,ec6d6c73b46d11c0
2852,2279,1,76561198012872053,3,huNter,Smoke Grenade,grenade,01JM61TNFV2THQY35T1KGZBWF7,1,ec6d6c73b46d11c0
10190,8525,2,76561197997351207,2,rain,Kevlar + Helmet,equipment,01JM61TNTD30VTBJ8EJ5AHHACK,0,ec6d6c73b46d11c0
