frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
1824,1493,1,76561198068422762,3,frozen,Kevlar Vest,equipment,01JM61TY4H06ZAEX6YKPWFFQMQ,0,f4214f7df48008c1
1826,1495,1,76561198080703143,2,malbsMd,Kevlar Vest,equipment,01JM61TY4H06ZAEX6YKRTXN66K,0,f4214f7df48008c1
1827,1496,1,76561198201620490,3,broky,Kevlar Vest,equipment,01JM61TY4H06ZAEX6YKTP37C97,0,f4214f7df48008c1
1832,1499,1,76561197997351207,3,rain,Kevlar Vest,equipment,01JM61TY4H06ZAEX6YKVNBGD0C,0,f4214f7df48008c1
1867,1525,1,76561197991272318,3,ropz,Kevlar Vest,equipment,01JM61TY4H06ZAEX6YKWQZHQM4,0,f4214f7df48008c1
1944,1580,1,76561197989430253,3," karrigan",Dual Berettas,pistol,01JM61TY4J0M14CQ0TCFV6PA0E,0,f4214f7df48008c1
1975,1605,1,76561198012872053,2,huNter,Smoke Grenade,grenade,01JM61TY4KR6YN0XRP9TGN1X4H,0,f4214f7df48008c1
1993,1619,1,76561198012872053,2,huNter,Flashbang,grenade,01JM61TY4KR6YN0XRP9YD1DYKV,0,f4214f7df48008c1
2078,1672,1,76561197982141573,2,Snax,Smoke Grenade,grenade,01JM61TY4N59GYR1ZE8BYC6SJ4,0,f4214f7df48008c1
2081,1673,1,76561197989430253,3," karrigan",Dual Berettas,pistol,01JM61TY4N59GYR1ZE8H210MXF,0,f4214f7df48008c1
2090,1682,1,76561197982141573,2,Snax,Flashbang,grenade,01JM61TY4N59GYR1ZE8JPH6WK9,0,f4214f7df48008c1
2109,1695,1,76561198041683378,2,NiKo,Kevlar Vest,equipment,01JM61TY4PKHYC7ZME809MZA0Q,0,f4214f7df48008c1
2189,1748,1,76561197989430253,3," karrigan",Flashbang,grenade,01JM61TY4Q1T3ENF0HZJGR63GH,0,f4214f7df48008c1
2322,1853,1,76561198074762801,2,m0NESY,Kevlar Vest,equipment,01JM61TY4SM564G4V5N89QS0D4,0,f4214f7df48008c1
2793,2180,1,76561198041683378,2,NiKo,P250,pistol,01JM61TY4M75G8R276YH4TART5,0,f4214f7df48008c1
9557,7966,2,76561198201620490,3,broky,Desert Eagle,pistol,01JM61TYC86JB7RRF4EPMFZX5Y,0,f4214f7df48008c1
9569,7974,2,76561198041683378,2,NiKo,Kevlar + Helmet,equipment,01JM61TYC9ZMWT1MWV8X1NK5G2,0,f4214f7df48008c1
9580,7981,2,76561198201620490,3,broky,Kevlar Vest,equipment,01JM61TYC9ZMWT1MWV90D9372V,0,f4214f7df48008c1
9609,7998,2,76561198041683378,2,NiKo,AK-47,rifle,01JM61TYCA2M56DGFRT4D4JXRM,0,f4214f7df48008c1
9649,8021,2,76561198041683378,2,NiKo,Smoke Grenade,grenade,01JM61TYCC2V5ZMWHR1A5QH1G5,0,f4214f7df48008c1
9683,8033,2,76561198068422762,3,frozen,MP9,smg,01JM61TYCDQE7ZWY3VSPP99PVA,0,f4214f7df48008c1
9696,8041,2,76561198041683378,2,NiKo,Molotov,grenade,01JM61TYCDQE7ZWY3VSS0WBVQW,0,f4214f7df48008c1
9715,8053,2,76561198068422762,3,frozen,Kevlar Vest,equipment,01JM61TYCDQE7ZWY3VSW7XWBBS,0,f4214f7df48008c1
9715,8053,2,76561198012872053,2,huNter,Kevlar + Helmet,equipment,01JM61TYCDQE7ZWY3VSZP29BKM,0,f4214f7df48008c1
9725,8059,2,76561198041683378,2,NiKo,Flashbang,grenade,01JM61TYCDQE7ZWY3VT2WMFSAJ,0,f4214f7df48008c1
9743,8067,2,76561197997351207,3,rain,Desert Eagle,pistol,01JM61TY2Y6JM7EV3PXE6RGPBK,0,f4214f7df48008c1
9743,8067,2,76561198201620490,3,broky,Smoke Grenade,grenade,01JM61TY2X9CJN9A4HY99ZCN0M,0,f4214f7df48008c1
9780,8085,2,76561197997351207,3,rain,Kevlar + Helmet,equipment,01JM61TYCF2NMHGFM3CH9D4114,0,f4214f7df48008c1
9795,8092,2,76561197982141573,2,Snax,MAC-10,smg,01JM61TY2X9CJN9A4HY1Q88TN6,0,f4214f7df48008c1
9816,8105,2,76561197997351207,3,rain,Smoke Grenade,grenade,01JM61TY2X9CJN9A4HY1FW14WC,0,f4214f7df48008c1
