steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198015308884,biguzera,2,800,700,900,pistol,1,4d8ded1a139bbd27
76561197961491680,tabseN,3,800,800,700,pistol,1,4d8ded1a139bbd27
76561198170631091,Krimbo,3,800,650,950,pistol,1,4d8ded1a139bbd27
76561198350342505,nqz,2,800,700,900,pistol,1,4d8ded1a139bbd27
76561198078771373,JDC,3,800,650,850,pistol,1,4d8ded1a139bbd27
76561198377335846,snow,2,800,700,900,pistol,1,4d8ded1a139bbd27
76561198074017668," lux",2,800,650,850,pistol,1,4d8ded1a139bbd27
76561198385657675,kauez,2,800,650,850,pistol,1,4d8ded1a139bbd27
76561198172837021,rigoN,3,800,650,850,pistol,1,4d8ded1a139bbd27
76561197980122997,syrsoN,3,800,650,850,pistol,1,4d8ded1a139bbd27
76561198078771373,JDC,3,2050,1900,2100,force-buy,2,4d8ded1a139bbd27
76561198350342505,nqz,2,3650,3600,4100,full,2,4d8ded1a139bbd27
76561198377335846,snow,2,3650,3250,3450,semi,2,4d8ded1a139bbd27
76561198074017668," lux",2,4900,4450,5100,full,2,4d8ded1a139bbd27
76561198385657675,kauez,2,4000,3900,4100,full,2,4d8ded1a139bbd27
76561197980122997,syrsoN,3,2050,1700,1900,force-buy,2,4d8ded1a139bbd27
76561198015308884,biguzera,2,3650,3600,3850,semi,2,4d8ded1a139bbd27
76561197961491680,tabseN,3,1900,1900,1900,force-buy,2,4d8ded1a139bbd27
76561198170631091,Krimbo,3,2050,1950,1950,force-buy,2,4d8ded1a139bbd27
76561198172837021,rigoN,3,2050,2000,2200,force-buy,2,4d8ded1a139bbd27
76561198015308884,biguzera,2,3550,2150,4100,full,3,4d8ded1a139bbd27
76561198078771373,JDC,3,2550,700,700,eco,3,4d8ded1a139bbd27
76561198377335846,snow,2,3900,2100,3350,semi,3,4d8ded1a139bbd27
76561198074017668," lux",2,4550,1100,5000,full,3,4d8ded1a139bbd27
76561198385657675,kauez,2,4200,1400,4100,full,3,4d8ded1a139bbd27
76561197980122997,syrsoN,3,2750,0,1900,semi,3,4d8ded1a139bbd27
76561197961491680,tabseN,3,2400,300,1900,semi,3,4d8ded1a139bbd27
76561198170631091,Krimbo,3,2800,700,700,eco,3,4d8ded1a139bbd27
76561198350342505,nqz,2,3550,1100,4200,full,3,4d8ded1a139bbd27
76561198172837021,rigoN,3,2450,650,2850,semi,3,4d8ded1a139bbd27
76561198015308884,biguzera,2,4900,2200,4200,full,4,4d8ded1a139bbd27
76561197961491680,tabseN,3,5900,1600,4700,full,4,4d8ded1a139bbd27
76561198078771373,JDC,3,5050,4900,5300,full,4,4d8ded1a139bbd27
76561198385657675,kauez,2,6600,3800,5000,full,4,4d8ded1a139bbd27
