frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
1886,1533,1,76561197997351207,3,rain,Kevlar Vest,equipment,01JM61XE72TNQJR8CDTKHKYM01,0,a9a03854402ccebc
1921,1561,1,76561197989430253,3," karrigan",Dual Berettas,pistol,01JM61XE73FTY3HZ0371TM2AZF,0,a9a03854402ccebc
1943,1577,1,76561198184153575,2,JBa,Kevlar Vest,equipment,01JM61XE73FTY3HZ037495BKQ4,0,a9a03854402ccebc
1955,1588,1,76561197981849043,2,stanislaw,Smoke Grenade,grenade,01JM61XE73FTY3HZ03776G8AHA,0,a9a03854402ccebc
1960,1592,1,76561197981849043,2,stanislaw,Molotov,grenade,01JM61XE73FTY3HZ037B6046CA,0,a9a03854402ccebc
1970,1601,1,76561197989430253,3," karrigan",Smoke Grenade,grenade,01JM61XE74HV3KTJT9967DPH99,0,a9a03854402ccebc
2004,1623,1,76561197989430253,3," karrigan",Flashbang,grenade,01JM61XE74HV3KTJT999MF33H2,0,a9a03854402ccebc
2053,1664,1,76561197981849043,2,stanislaw,Decoy Grenade,grenade,01JM61XE75YE9CDXMH61PXXMFW,0,a9a03854402ccebc
2212,1795,1,76561198408199043,2,phzy,Kevlar Vest,equipment,01JM61XE77B34HYJ6XK7GGK91G,0,a9a03854402ccebc
2288,1862,1,76561198408199043,2,phzy,P250,pistol,01JM61XE788CAC020J2873XV8Z,0,a9a03854402ccebc
2299,1872,1,76561198342718168,2,susp,Smoke Grenade,grenade,01JM61XE788CAC020J2AX40VH1,0,a9a03854402ccebc
2314,1885,1,76561198342718168,2,susp,Flashbang,grenade,01JM61XE79W7W60YJ3XC50QDAZ,0,a9a03854402ccebc
2384,1930,1,76561198342718168,2,susp,Kevlar Vest,equipment,01JM61XE7BE01837MJSC66RNSV,0,a9a03854402ccebc
2649,2116,1,76561198201620490,3,broky,Kevlar Vest,equipment,01JM61XE7FMZREZ2H25GW0XNSJ,0,a9a03854402ccebc
2803,2231,1,76561197991272318,3,ropz,Kevlar Vest,equipment,01JM61XE7HJB7B1SJG6586JX7D,0,a9a03854402ccebc
8976,7223,2,76561198408199043,2,phzy,Kevlar + Helmet,equipment,01JM61XEEMD4519TRKSP043R8V,0,a9a03854402ccebc
9115,7291,2,76561198184153575,2,JBa,Galil AR,rifle,01JM61XEEQ77CVE66RVZTBQAKT,0,a9a03854402ccebc
9120,7293,2,76561198342718168,2,susp,MAC-10,smg,01JM61XEEQ77CVE66RW237PBWT,0,a9a03854402ccebc
9133,7306,2,76561198184153575,2,JBa,Kevlar + Helmet,equipment,01JM61XEER4P20NQ75JH1HMJC9,0,a9a03854402ccebc
9141,7309,2,76561198408199043,2,phzy,AK-47,rifle,01JM61XEER4P20NQ75JMWEW0J5,0,a9a03854402ccebc
9141,7309,2,76561198342718168,2,susp,Kevlar + Helmet,equipment,01JM61XEER4P20NQ75JQ81VX7K,0,a9a03854402ccebc
