frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
1819,1546,1,76561198012872053,3,huNter,Kevlar Vest,equipment,01JM61Z5DGQ2VXKBG3ZDM00XCH,0,5d82c197f1fb3742
1824,1548,1,76561198179538505,2,Graviti,P250,pistol,01JM61Z5DGQ2VXKBG3ZEZPJZE7,0,5d82c197f1fb3742
1850,1570,1,76561198179538505,2,Graviti,Smoke Grenade,grenade,01JM61Z5DHH209VZ8K88N23NWX,0,5d82c197f1fb3742
1859,1579,1,76561198179538505,2,Graviti,Flashbang,grenade,01JM61Z5DHH209VZ8K8C88TR8K,0,5d82c197f1fb3742
1862,1582,1,76561197982141573,3,Snax,Kevlar Vest,equipment,01JM61Z5DHH209VZ8K8FNXGJ5Q,0,5d82c197f1fb3742
1892,1606,1,76561198045739761,2,Maka,Kevlar Vest,equipment,01JM61Z5DJWWXER65WTQGK3X3Z,0,5d82c197f1fb3742
1898,1609,1,76561198080703143,3,malbsMd,Dual Berettas,pistol,01JM61Z5DJWWXER65WTTPTEGZH,0,5d82c197f1fb3742
1910,1621,1,76561198047876970,2," Djoko",Kevlar Vest,equipment,01JM61Z5DJWWXER65WTXSWFAVD,0,5d82c197f1fb3742
2000,1690,1,76561198168198200,2,Ex3rcice,Kevlar Vest,equipment,01JM61Z5DM9SGS39VDZCQN0NV7,0,5d82c197f1fb3742
2121,1764,1,76561198041683378,3,NiKo,Kevlar Vest,equipment,01JM61Z5DPEXZZVS0G81DZ8R1V,0,5d82c197f1fb3742
2149,1782,1,76561198031890115,2,Lucky,Kevlar Vest,equipment,01JM61Z5DQP1S6T7TZK5JF1V44,0,5d82c197f1fb3742
2193,1812,1,76561198080703143,3,malbsMd,Smoke Grenade,grenade,01JM61Z5DRZCRXRKET52KJ4GX7,0,5d82c197f1fb3742
2207,1824,1,76561198074762801,3,m0NESY,Kevlar Vest,equipment,01JM61Z5DS6J1H05G73WQEPQBH,0,5d82c197f1fb3742
2219,1832,1,76561198080703143,3,malbsMd,Flashbang,grenade,01JM61Z5DS6J1H05G73ZR0VRFZ,0,5d82c197f1fb3742
7550,6195,2,76561198179538505,2,Graviti,Kevlar + Helmet,equipment,01JM61Z5M25HPBGMG60S2JRAG0,0,5d82c197f1fb3742
7615,6248,2,76561198179538505,2,Graviti,Galil AR,rifle,01JM61Z5M31M01MAWZRSP6S3B2,0,5d82c197f1fb3742
7652,6276,2,76561198179538505,2,Graviti,Molotov,grenade,01JM61Z5M48148ZCGFD74TWFGW,0,5d82c197f1fb3742
7677,6288,2,76561198179538505,2,Graviti,Smoke Grenade,grenade,01JM61Z5M48148ZCGFD8ZNZ7B8,0,5d82c197f1fb3742
7729,6329,2,76561198179538505,2,Graviti,HE Grenade,grenade,01JM61Z5M5ZAZ84ZJ181BN8FM0,0,5d82c197f1fb3742
7758,6351,2,76561198031890115,2,Lucky,Kevlar + Helmet,equipment,01JM61Z5M5ZAZ84ZJ184VFCR10,0,5d82c197f1fb3742
8387,6822,2,76561198168198200,2,Ex3rcice,Kevlar + Helmet,equipment,01JM61Z5ME25H0FBHNWJBQY147,0,5d82c197f1fb3742
8486,6906,2,76561198168198200,2,Ex3rcice,AK-47,rifle,01JM61Z5MFDRMVAHEE5Z0C2MDB,1,5d82c197f1fb3742
8501,6919,2,76561198168198200,2,Ex3rcice,Smoke Grenade,grenade,01JM61Z5MGDA20DN4YZ90NZAZ1,0,5d82c197f1fb3742
8577,6982,2,76561198168198200,2,Ex3rcice,Flashbang,grenade,01JM61Z5MHNKHXXH669K6023GJ,0,5d82c197f1fb3742
30431,25007,3,76561198074762801,3,m0NESY,M4A1,rifle,01JM61Z65E5RV8TFJS7XCR422V,0,5d82c197f1fb3742
30432,25008,3,76561198080703143,3,malbsMd,Kevlar Vest,equipment,01JM61Z65E5RV8TFJS8161XXRW,0,5d82c197f1fb3742
30437,25010,3,76561198179538505,2,Graviti,Molotov,grenade,01JM61Z65E5RV8TFJS817VYBCB,0,5d82c197f1fb3742
30450,25019,3,76561198074762801,3,m0NESY,Kevlar Vest,equipment,01JM61Z65F474CMSH4BYCXND68,0,5d82c197f1fb3742
30451,25020,3,76561198179538505,2,Graviti,HE Grenade,grenade,01JM61Z65F474CMSH4C1QTMVVJ,0,5d82c197f1fb3742
30459,25026,3,76561198080703143,3,malbsMd,M4A1,rifle,01JM61Z65F474CMSH4C5HEW182,0,5d82c197f1fb3742
30466,25033,3,76561198041683378,3,NiKo,Kevlar + Helmet,equipment,01JM61Z65F474CMSH4CA6SAZH7,0,5d82c197f1fb3742
30466,25033,3,76561198179538505,2,Graviti,Smoke Grenade,grenade,01JM61Z65F474CMSH4C94P2KHE,0,5d82c197f1fb3742
30476,25041,3,76561198045739761,2,Maka,Molotov,grenade,01JM61Z65F474CMSH4CBNJBSWF,0,5d82c197f1fb3742
30478,25043,3,76561198179538505,2,Graviti,Flashbang,grenade,01JM61Z65F474CMSH4CCEC04SX,0,5d82c197f1fb3742
30496,25054,3,76561198041683378,3,NiKo,M4A1,rifle,01JM61Z65F474CMSH4CFA7MBB9,1,5d82c197f1fb3742
30497,25055,3,76561198045739761,2,Maka,HE Grenade,grenade,01JM61Z65F474CMSH4CKA1E47D,0,5d82c197f1fb3742
30520,25076,3,76561198045739761,2,Maka,Flashbang,grenade,01JM61Z65GXWVTTXW7DJ9BWAYA,0,5d82c197f1fb3742
30531,25085,3,76561198041683378,3,NiKo,Smoke Grenade,grenade,01JM61Z65GXWVTTXW7DM0RHJF0,0,5d82c197f1fb3742
30535,25087,3,76561198031890115,2,Lucky,HE Grenade,grenade,01JM61Z65GXWVTTXW7DQ3RG6NK,0,5d82c197f1fb3742
30543,25095,3,76561198080703143,3,malbsMd,Incendiary Grenade,grenade,01JM61Z65GXWVTTXW7DWNG7J9Y,0,5d82c197f1fb3742
30546,25098,3,76561198031890115,2,Lucky,Molotov,grenade,01JM61Z65GXWVTTXW7DY051GR5,0,5d82c197f1fb3742
30558,25110,3,76561198080703143,3,malbsMd,Smoke Grenade,grenade,01JM61Z65H0SJBC1MK700EZ1W7,0,5d82c197f1fb3742
30573,25121,3,76561198080703143,3,malbsMd,Flashbang,grenade,01JM61Z65H0SJBC1MK70YTP23S,0,5d82c197f1fb3742
