frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
2651,2135,1,76561198078771373,2,JDC,Kevlar Vest,equipment,01JM61ZFESCW7WYCTEVYNF418Z,0,664f6d1460b54fe0
5391,4371,1,76561198041683378,3,NiKo,Kevlar Vest,equipment,01JM61ZFG0M7PFSHEVNXC3VKQZ,0,664f6d1460b54fe0
5441,4408,1,76561198170631091,2,Krimbo,Smoke Grenade,grenade,01JM61ZFG165FR9ADNFF48X8X4,0,664f6d1460b54fe0
5459,4418,1,76561198170631091,2,Krimbo,Flashbang,grenade,01JM61ZFG165FR9ADNFF67WP9D,0,664f6d1460b54fe0
5532,4469,1,76561198074762801,3,m0NESY,Kevlar Vest,equipment,01JM61ZFG274VK7VJDHF7XJHPA,0,664f6d1460b54fe0
5605,4517,1,76561197980122997,2,syrsoN,Kevlar Vest,equipment,01JM61ZFG41WGD86S2CDNQ30AT,0,664f6d1460b54fe0
5650,4540,1,76561198080703143,3,malbsMd,Dual Berettas,pistol,01JM61ZFG51B2G6G9A19A5A0W6,0,664f6d1460b54fe0
5665,4551,1,76561197961491680,2,tabseN,Kevlar Vest,equipment,01JM61ZFG67F3TNVMB3REWN9Y1,0,664f6d1460b54fe0
5739,4593,1,76561198012872053,3,huNter,Incendiary Grenade,grenade,01JM61ZFG8736TY43YGWV73YYR,0,664f6d1460b54fe0
11563,9395,2,76561197980122997,2,syrsoN,Kevlar + Helmet,equipment,01JM61ZFQ856VZ4JEJX7616Z0Y,0,664f6d1460b54fe0
11615,9428,2,76561198078771373,2,JDC,Kevlar + Helmet,equipment,01JM61ZFQ9KJ6ZFZRNW4AN3QX9,0,664f6d1460b54fe0
11652,9456,2,76561198172837021,2,rigoN,MAC-10,smg,01JM61ZFQ9KJ6ZFZRNW8MTXVQ4,0,664f6d1460b54fe0
11671,9467,2,76561198078771373,2,JDC,MAC-10,smg,01JM61ZFQA9YXZX5YB867R1VD8,0,664f6d1460b54fe0
11685,9477,2,76561198172837021,2,rigoN,Kevlar + Helmet,equipment,01JM61ZFQA9YXZX5YB8733E02C,0,664f6d1460b54fe0
11759,9519,2,76561198172837021,2,rigoN,HE Grenade,grenade,01JM61ZFQCTFY5WHGEXB9CVM8J,0,664f6d1460b54fe0
11820,9554,2,76561197961491680,2,tabseN,MAC-10,smg,01JM61ZFQDVAXS7DF61FTDF6KY,1,664f6d1460b54fe0
11837,9566,2,76561197980122997,2,syrsoN,MAC-10,smg,01JM61ZFQDVAXS7DF61KKV5N8B,0,664f6d1460b54fe0
11847,9574,2,76561197961491680,2,tabseN,Kevlar + Helmet,equipment,01JM61ZFQDVAXS7DF61PXKEDVE,0,664f6d1460b54fe0
11963,9655,2,76561197980122997,2,syrsoN,Smoke Grenade,grenade,01JM61ZFQGAXY60CJ4EFGAS0Z7,0,664f6d1460b54fe0
11967,9659,2,76561197980122997,2,syrsoN,Flashbang,grenade,01JM61ZFQGAXY60CJ4EJK49QER,0,664f6d1460b54fe0
12130,9782,2,76561198078771373,2,JDC,HE Grenade,grenade,01JM61ZFQK0KZ0WX7Z9T9R4ETD,0,664f6d1460b54fe0
12284,9885,2,76561198172837021,2,rigoN,Smoke Grenade,grenade,01JM61ZFQNSWT0BZPVGMT7TGJ0,0,664f6d1460b54fe0
12497,10037,2,76561198170631091,2,Krimbo,Galil AR,rifle,01JM61ZFQSHBWH2ZZSR603Q4KC,0,664f6d1460b54fe0
