number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1017,1315,2712,3379,6064,7315,6512,7859,G2 Esports,HEROIC,0,1,3,2,4000,4000,4300,4400,3300,3400,pistol,pistol,76868,9,HEROIC,2,0,741ea759430310d5
2,6512,7859,7792,9574,13843,16550,14291,17094,G2 Esports,HEROIC,0,2,3,2,10200,18650,1000,20000,0,18050,eco,full,111344,1,HEROIC,2,0,741ea759430310d5
3,14291,17094,15571,18996,20371,24719,20819,25254,G2 Esports,HEROIC,1,2,3,2,22800,19300,24600,21100,19100,11100,full,full,97687,7,G2 Esports,3,0,741ea759430310d5
4,20819,25254,22099,27122,29008,35299,29456,35854,G2 Esports,HEROIC,1,3,3,2,22700,18800,29200,19350,15900,18550,full,force-buy,128691,9,HEROIC,2,0,741ea759430310d5
5,29456,35854,30736,37546,38622,46791,39070,47356,G2 Esports,HEROIC,1,4,3,2,16300,18300,3950,27350,3750,4500,eco,full,140119,1,HEROIC,2,0,741ea759430310d5
6,41273,50145,42553,51891,49913,60564,50361,61095,G2 Esports,HEROIC,2,4,3,2,24850,32400,26200,28050,24250,8450,full,full,133482,12,G2 Esports,3,0,741ea759430310d5
7,50361,61095,51641,62975,59001,71639,59449,72176,G2 Esports,HEROIC,3,4,3,2,17350,28150,30100,25300,7400,16400,full,full,135084,12,G2 Esports,3,0,741ea759430310d5
8,59449,72176,60729,73937,64929,79090,65377,79637,G2 Esports,HEROIC,4,4,3,2,26800,19650,32350,21950,10500,16850,full,full,88578,8,G2 Esports,3,0,741ea759430310d5
9,65377,79637,66657,81357,71732,87316,72180,87862,G2 Esports,HEROIC,5,4,3,2,33850,14800,32700,5000,6400,5000,full,eco,98379,8,G2 Esports,3,0,741ea759430310d5
10,74347,90479,75627,92213,80944,98588,81392,99109,G2 Esports,HEROIC,5,5,3,2,45200,24600,33100,24300,9500,23300,full,full,103888,9,HEROIC,2,0,741ea759430310d5
11,81392,99109,82672,100904,90667,110230,91115,110747,G2 Esports,HEROIC,5,6,3,2,43500,19350,31250,21500,30250,16500,full,full,142476,1,HEROIC,2,0,741ea759430310d5
