frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
8293,6875,1,2,2,0,76561197981849043,stanislaw,0,0,ac8e5c6252db1914
17571,14392,2,3,2,0,76561197981849043,stanislaw,0,1,ac8e5c6252db1914
26445,21635,3,3,2,0,76561198184153575,JBa,0,1,ac8e5c6252db1914
36590,29798,4,2,2,0,76561198342718168,susp,0,0,ac8e5c6252db1914
42934,34639,5,2,3,0,76561198098071693,sl3nd,0,0,ac8e5c6252db1914
60505,48865,7,2,2,1,76561198342718168,susp,1,2,ac8e5c6252db1914
62696,50796,7,1,3,0,76561198098071693,sl3nd,0,0,ac8e5c6252db1914
70881,57197,8,4,3,0,76561199009468655,ztr,0,2,ac8e5c6252db1914
78950,63720,9,3,3,0,76561198316706174,Tauson,0,0,ac8e5c6252db1914
97927,78430,11,4,3,0,76561198316706174,Tauson,1,1,ac8e5c6252db1914
114872,92206,12,2,3,1,76561198155754447,volt,1,2,ac8e5c6252db1914
115787,93015,12,1,2,0,76561198184153575,JBa,0,0,ac8e5c6252db1914
127296,102824,13,3,2,0,76561198155754447,volt,0,0,ac8e5c6252db1914
132661,106900,14,5,2,0,76561198098071693,sl3nd,0,0,ac8e5c6252db1914
140004,112656,15,3,3,0,76561198342718168,susp,1,0,ac8e5c6252db1914
152938,123417,16,2,2,1,76561198098071693,sl3nd,1,2,ac8e5c6252db1914
154024,124360,16,1,3,0,76561198342718168,susp,0,0,ac8e5c6252db1914
162677,131380,17,4,3,0,76561198184153575,JBa,0,0,ac8e5c6252db1914
174785,141170,18,2,3,0,76561198408199043,phzy,0,0,ac8e5c6252db1914
180392,145453,19,3,3,0,76561198342718168,susp,0,0,ac8e5c6252db1914
193563,156290,20,2,2,0,76561198316706174,Tauson,0,0,ac8e5c6252db1914
199857,161186,21,2,2,0,76561198014259134,FL4MUS,0,0,ac8e5c6252db1914
205879,165750,22,5,2,0,76561198014259134,FL4MUS,0,2,ac8e5c6252db1914
218698,175914,23,3,2,0,76561198316706174,Tauson,0,0,ac8e5c6252db1914
