frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
6236,5169,1,ztr,76561199009468655,2,GamerLegion,Sonic,76561197975129851,3,Wildcard,sl3nd,76561198098071693,2,GamerLegion,Glock-18,pistol,1,0,1,0,0,0,225.104965,543.132141,-31.968750,0,1,242.806030,662.318909,-31.968750,0,1,0,-284.906616,-333.892334,0.264574,0,1,0,0,3.060714,8f9b843b6ca827f0
6273,5199,1,ztr,76561199009468655,2,GamerLegion,phzy,76561198408199043,3,Wildcard,,0,0,,Glock-18,pistol,1,0,0,0,0,0,277.109772,547.413208,-29.614563,0,0,227.527634,701.186768,-31.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,4.016649,8f9b843b6ca827f0
6308,5231,1,stanislaw,76561197981849043,3,Wildcard,sl3nd,76561198098071693,2,GamerLegion,,0,0,,USP-S,pistol,1,0,0,0,0,0,16.288996,805.306641,0.265329,0,0,-278.939575,-335.412781,0.264791,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,29.930601,8f9b843b6ca827f0
6391,5312,1,stanislaw,76561197981849043,3,Wildcard,ztr,76561199009468655,2,GamerLegion,,0,0,,USP-S,pistol,1,0,0,0,0,0,150.663696,865.132874,-29.843201,0,0,168.379898,706.512146,-28.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,4.099908,8f9b843b6ca827f0
7311,6134,1,susp,76561198342718168,3,Wildcard,volt,76561198155754447,2,GamerLegion,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1079.085083,894.281433,0.031250,0,0,-1488.263550,402.858521,0.031248,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,16.311705,8f9b843b6ca827f0
7802,6570,1,FL4MUS,76561198014259134,2,GamerLegion,susp,76561198342718168,3,Wildcard,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-1205.724731,537.913757,0.031248,0,0,-1261.970825,1214.360474,-22.869446,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,17.247845,8f9b843b6ca827f0
7911,6673,1,FL4MUS,76561198014259134,2,GamerLegion,stanislaw,76561197981849043,3,Wildcard,,0,0,,Glock-18,pistol,0,0,0,0,0,0,-1314.171875,624.111694,0.031248,0,0,-906.034363,997.947876,35.031246,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,14.092247,8f9b843b6ca827f0
9802,8369,1,JBa,76561198184153575,3,Wildcard,FL4MUS,76561198014259134,2,GamerLegion,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1029.730591,874.023132,6.604109,0,0,-945.843689,1147.526367,35.031250,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,7.300129,8f9b843b6ca827f0
9983,8531,1,Tauson,76561198316706174,2,GamerLegion,JBa,76561198184153575,3,Wildcard,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-674.161377,1134.965088,32.031246,0,0,-946.550842,1085.788208,35.031250,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,7.069310,8f9b843b6ca827f0
17593,14531,2,volt,76561198155754447,2,GamerLegion,phzy,76561198408199043,3,Wildcard,,0,0,,MAC-10,smg,0,0,0,0,0,0,804.985107,1922.302612,-39.968750,0,0,518.121582,1944.051636,-38.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,7.330082,8f9b843b6ca827f0
17739,14655,2,FL4MUS,76561198014259134,2,GamerLegion,susp,76561198342718168,3,Wildcard,,0,0,,AK-47,rifle,1,0,0,0,0,0,-4.076294,894.724182,0.266545,0,0,-145.760986,-107.035706,0.185973,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,25.762487,8f9b843b6ca827f0
17742,14658,2,Tauson,76561198316706174,2,GamerLegion,JBa,76561198184153575,3,Wildcard,,0,0,,AK-47,rifle,0,0,0,0,0,0,1347.163574,436.403351,0.031250,0,0,1078.656738,831.774475,-148.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,12.674150,8f9b843b6ca827f0
