steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198050250233,iM,3,800,650,850,pistol,1,de81313f67acf632
76561198246607476,b1t,3,800,650,850,pistol,1,de81313f67acf632
76561197996678278,TeSeS,2,800,700,900,pistol,1,de81313f67acf632
76561198013243326,Aleksib,3,800,800,700,pistol,1,de81313f67acf632
76561198799340122," degster",2,800,700,900,pistol,1,de81313f67acf632
76561198160709585,sjuush,2,800,750,550,pistol,1,de81313f67acf632
76561198176878303,jL,3,800,800,1000,pistol,1,de81313f67acf632
76561198057282432,kyxsan,2,800,700,1300,pistol,1,de81313f67acf632
76561198053126645,NertZ,2,800,650,1050,pistol,1,de81313f67acf632
76561199063068840,w0nderful,3,800,650,950,pistol,1,de81313f67acf632
76561198799340122," degster",2,2900,2750,2950,force-buy,2,de81313f67acf632
76561198057282432,kyxsan,2,2600,2550,2750,force-buy,2,de81313f67acf632
76561199063068840,w0nderful,3,3950,3850,4050,semi,2,de81313f67acf632
76561198160709585,sjuush,2,2850,2750,2950,force-buy,2,de81313f67acf632
76561198013243326,Aleksib,3,3500,3350,3550,semi,2,de81313f67acf632
76561198053126645,NertZ,2,2650,2650,3150,force-buy,2,de81313f67acf632
76561198050250233,iM,3,4850,4700,4900,full,2,de81313f67acf632
76561198246607476,b1t,3,3950,3950,4900,full,2,de81313f67acf632
76561197996678278,TeSeS,2,2900,2800,2800,force-buy,2,de81313f67acf632
76561198176878303,jL,3,3500,3350,3550,semi,2,de81313f67acf632
76561198176878303,jL,3,3400,2300,4300,semi,3,de81313f67acf632
76561199063068840,w0nderful,3,4550,4000,5400,full,3,de81313f67acf632
76561198050250233,iM,3,3700,1300,5400,full,3,de81313f67acf632
76561198246607476,b1t,3,3250,1300,5500,full,3,de81313f67acf632
76561198160709585,sjuush,2,2500,700,700,eco,3,de81313f67acf632
76561198013243326,Aleksib,3,3400,1700,4150,semi,3,de81313f67acf632
76561198799340122," degster",2,2550,500,500,eco,3,de81313f67acf632
76561198057282432,kyxsan,2,2450,600,300,eco,3,de81313f67acf632
76561198053126645,NertZ,2,2400,300,300,eco,3,de81313f67acf632
76561197996678278,TeSeS,2,3100,1450,1450,semi,3,de81313f67acf632
76561197996678278,TeSeS,2,4850,4800,5000,full,4,de81313f67acf632
76561198799340122," degster",2,4950,4800,5000,full,4,de81313f67acf632
76561198160709585,sjuush,2,4700,4700,4900,full,4,de81313f67acf632
76561198176878303,jL,3,5250,1300,4800,full,4,de81313f67acf632
76561198013243326,Aleksib,3,5550,2700,5800,full,4,de81313f67acf632
76561198057282432,kyxsan,2,4750,4600,4800,full,4,de81313f67acf632
76561198053126645,NertZ,2,5000,4900,5100,full,4,de81313f67acf632
76561199063068840,w0nderful,3,3800,3400,5400,full,4,de81313f67acf632
76561198050250233,iM,3,5950,1400,5800,full,4,de81313f67acf632
76561198246607476,b1t,3,5200,800,5500,full,4,de81313f67acf632
76561198799340122," degster",2,3700,3000,4600,full,5,de81313f67acf632
76561198053126645,NertZ,2,3650,2200,5100,full,5,de81313f67acf632
76561199063068840,w0nderful,3,2400,2400,6100,full,5,de81313f67acf632
76561198050250233,iM,3,5950,5400,5400,full,5,de81313f67acf632
76561198246607476,b1t,3,6100,6050,3250,force-buy,5,de81313f67acf632
76561198160709585,sjuush,2,3550,2000,4900,full,5,de81313f67acf632
76561198176878303,jL,3,5350,5200,5400,full,5,de81313f67acf632
76561198013243326,Aleksib,3,4250,3950,4150,force-buy,5,de81313f67acf632
76561198057282432,kyxsan,2,3700,3600,5000,full,5,de81313f67acf632
76561197996678278,TeSeS,2,3900,2950,3350,semi,5,de81313f67acf632
76561198176878303,jL,3,3950,1300,5200,full,6,de81313f67acf632
76561198050250233,iM,3,4350,4100,5500,full,6,de81313f67acf632
76561198160709585,sjuush,2,4550,4400,4600,full,6,de81313f67acf632
76561198013243326,Aleksib,3,3800,2900,5800,full,6,de81313f67acf632
76561198799340122," degster",2,3700,3700,3900,force-buy,6,de81313f67acf632
76561198057282432,kyxsan,2,3400,3250,3450,force-buy,6,de81313f67acf632
76561198053126645,NertZ,2,4750,4700,4900,full,6,de81313f67acf632
76561199063068840,w0nderful,3,3800,3700,6350,full,6,de81313f67acf632
76561198246607476,b1t,3,4150,2500,5300,full,6,de81313f67acf632
76561197996678278,TeSeS,2,4550,4400,4600,full,6,de81313f67acf632
76561199063068840,w0nderful,3,4000,3900,7200,full,7,de81313f67acf632
76561198246607476,b1t,3,5750,1400,5600,full,7,de81313f67acf632
76561197996678278,TeSeS,2,4250,4200,2750,force-buy,7,de81313f67acf632
76561198176878303,jL,3,6150,5300,5400,full,7,de81313f67acf632
76561198013243326,Aleksib,3,5000,3950,4150,semi,7,de81313f67acf632
76561198799340122," degster",2,3500,3500,3700,force-buy,7,de81313f67acf632
76561198057282432,kyxsan,2,3650,3500,4100,full,7,de81313f67acf632
76561198053126645,NertZ,2,3850,3250,5100,full,7,de81313f67acf632
76561198050250233,iM,3,3750,2700,5900,full,7,de81313f67acf632
76561198160709585,sjuush,2,3950,3900,4100,full,7,de81313f67acf632
76561198160709585,sjuush,2,3900,2400,5000,full,8,de81313f67acf632
76561198176878303,jL,3,2850,0,200,eco,8,de81313f67acf632
76561198013243326,Aleksib,3,2450,0,200,eco,8,de81313f67acf632
76561198799340122," degster",2,3550,900,7050,full,8,de81313f67acf632
76561198057282432,kyxsan,2,3700,1650,3550,semi,8,de81313f67acf632
76561199063068840,w0nderful,3,1500,0,200,eco,8,de81313f67acf632
76561197996678278,TeSeS,2,3300,2100,5000,full,8,de81313f67acf632
76561198053126645,NertZ,2,4450,3700,5100,full,8,de81313f67acf632
76561198050250233,iM,3,2450,0,200,eco,8,de81313f67acf632
76561198246607476,b1t,3,5750,0,200,eco,8,de81313f67acf632
76561198799340122," degster",2,6450,1100,7050,full,9,de81313f67acf632
76561198053126645,NertZ,2,4250,2200,5100,full,9,de81313f67acf632
76561198050250233,iM,3,4350,3550,5200,full,9,de81313f67acf632
76561198246607476,b1t,3,7650,7050,5200,full,9,de81313f67acf632
76561197996678278,TeSeS,2,5000,900,5000,full,9,de81313f67acf632
76561198160709585,sjuush,2,5300,5100,5000,full,9,de81313f67acf632
76561198013243326,Aleksib,3,4150,2900,4150,semi,9,de81313f67acf632
76561198057282432,kyxsan,2,5550,3600,3350,semi,9,de81313f67acf632
76561199063068840,w0nderful,3,4000,2550,7200,full,9,de81313f67acf632
76561198176878303,jL,3,4750,4650,5050,full,9,de81313f67acf632
76561198057282432,kyxsan,2,3850,3700,3150,force-buy,10,de81313f67acf632
76561199063068840,w0nderful,3,4700,2900,7550,full,10,de81313f67acf632
76561198160709585,sjuush,2,2100,2100,4100,full,10,de81313f67acf632
76561198013243326,Aleksib,3,5700,4100,5600,full,10,de81313f67acf632
76561198799340122," degster",2,7250,6650,6850,full,10,de81313f67acf632
76561198053126645,NertZ,2,4550,4400,5100,full,10,de81313f67acf632
76561198050250233,iM,3,4050,2700,5900,full,10,de81313f67acf632
76561198246607476,b1t,3,4150,500,5200,full,10,de81313f67acf632
76561197996678278,TeSeS,2,6000,5950,5000,full,10,de81313f67acf632
76561198176878303,jL,3,3950,3500,5050,full,10,de81313f67acf632
76561198160709585,sjuush,2,4100,4000,3700,semi,11,de81313f67acf632
76561199063068840,w0nderful,3,3300,3200,3400,force-buy,11,de81313f67acf632
76561198050250233,iM,3,3050,2950,3150,force-buy,11,de81313f67acf632
76561197996678278,TeSeS,2,3550,3500,3500,semi,11,de81313f67acf632
76561198176878303,jL,3,2450,2400,2600,force-buy,11,de81313f67acf632
76561198013243326,Aleksib,3,3000,2900,3100,force-buy,11,de81313f67acf632
76561198799340122," degster",2,4200,4200,4400,full,11,de81313f67acf632
76561198057282432,kyxsan,2,4250,3450,3450,semi,11,de81313f67acf632
76561198053126645,NertZ,2,3950,3800,4900,full,11,de81313f67acf632
76561198246607476,b1t,3,5050,4900,5100,full,11,de81313f67acf632
76561198053126645,NertZ,2,3700,3700,5100,full,12,de81313f67acf632
76561199063068840,w0nderful,3,2300,2150,2150,force-buy,12,de81313f67acf632
76561197996678278,TeSeS,2,3600,2400,5100,full,12,de81313f67acf632
76561198176878303,jL,3,1950,1950,1950,force-buy,12,de81313f67acf632
76561198013243326,Aleksib,3,2600,2500,2700,force-buy,12,de81313f67acf632
76561198799340122," degster",2,4150,3600,5300,full,12,de81313f67acf632
76561198057282432,kyxsan,2,4050,4000,4200,full,12,de81313f67acf632
76561198050250233,iM,3,2000,2000,2000,force-buy,12,de81313f67acf632
76561198246607476,b1t,3,2350,2200,2400,force-buy,12,de81313f67acf632
76561198160709585,sjuush,2,3350,2400,5000,full,12,de81313f67acf632
76561198799340122," degster",3,800,650,950,pistol,13,de81313f67acf632
76561199063068840,w0nderful,2,800,800,1200,pistol,13,de81313f67acf632
76561197996678278,TeSeS,3,800,650,1150,pistol,13,de81313f67acf632
76561198176878303,jL,2,800,650,850,pistol,13,de81313f67acf632
76561198013243326,Aleksib,2,800,700,900,pistol,13,de81313f67acf632
76561198057282432,kyxsan,3,800,800,400,pistol,13,de81313f67acf632
76561198053126645,NertZ,3,800,650,850,pistol,13,de81313f67acf632
76561198050250233,iM,2,800,650,850,pistol,13,de81313f67acf632
76561198246607476,b1t,2,800,650,850,pistol,13,de81313f67acf632
76561198160709585,sjuush,3,800,650,850,pistol,13,de81313f67acf632
76561198050250233,iM,2,2050,0,200,eco,14,de81313f67acf632
76561198246607476,b1t,2,2650,300,300,eco,14,de81313f67acf632
76561197996678278,TeSeS,3,3400,3300,4150,semi,14,de81313f67acf632
76561198160709585,sjuush,3,4000,4000,4200,semi,14,de81313f67acf632
76561198176878303,jL,2,2050,0,200,eco,14,de81313f67acf632
76561198799340122," degster",3,3400,2750,2650,semi,14,de81313f67acf632
76561198053126645,NertZ,3,4300,4200,4400,semi,14,de81313f67acf632
76561199063068840,w0nderful,2,1900,0,200,eco,14,de81313f67acf632
76561198013243326,Aleksib,2,2000,300,300,eco,14,de81313f67acf632
76561198057282432,kyxsan,3,3250,3250,3450,semi,14,de81313f67acf632
76561199063068840,w0nderful,2,4600,4600,4800,full,15,de81313f67acf632
76561197996678278,TeSeS,3,3350,1200,4150,semi,15,de81313f67acf632
76561198176878303,jL,2,4450,4450,4850,full,15,de81313f67acf632
76561198057282432,kyxsan,3,3250,1100,3750,semi,15,de81313f67acf632
76561198053126645,NertZ,3,3650,1200,5100,full,15,de81313f67acf632
76561198050250233,iM,2,4450,4400,4900,full,15,de81313f67acf632
76561198246607476,b1t,2,4750,4200,4100,full,15,de81313f67acf632
76561198160709585,sjuush,3,3850,1200,5500,full,15,de81313f67acf632
76561198013243326,Aleksib,2,4100,3900,4100,full,15,de81313f67acf632
76561198799340122," degster",3,5100,5050,5650,full,15,de81313f67acf632
76561198176878303,jL,2,3500,2050,2050,semi,16,de81313f67acf632
76561198799340122," degster",3,3550,1800,7550,full,16,de81313f67acf632
76561198053126645,NertZ,3,6850,1300,5200,full,16,de81313f67acf632
76561199063068840,w0nderful,2,3800,1000,1000,eco,16,de81313f67acf632
76561198050250233,iM,2,3550,2100,3900,semi,16,de81313f67acf632
76561197996678278,TeSeS,3,5650,5300,5200,full,16,de81313f67acf632
76561198160709585,sjuush,3,6450,5700,5900,full,16,de81313f67acf632
76561198013243326,Aleksib,2,3700,1450,1350,semi,16,de81313f67acf632
76561198057282432,kyxsan,3,6550,1300,5500,full,16,de81313f67acf632
76561198246607476,b1t,2,4650,2900,600,eco,16,de81313f67acf632
76561198013243326,Aleksib,2,5500,4900,5100,full,17,de81313f67acf632
76561198799340122," degster",3,3250,2400,5800,full,17,de81313f67acf632
76561198057282432,kyxsan,3,6950,6950,3650,force-buy,17,de81313f67acf632
76561199063068840,w0nderful,2,6050,2900,7450,full,17,de81313f67acf632
76561197996678278,TeSeS,3,2350,2250,2250,force-buy,17,de81313f67acf632
