steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198010496342,exit,2,800,650,850,pistol,1,550b985a66c74143
76561198157388473,Lucaozy,2,800,650,850,pistol,1,550b985a66c74143
76561198061423730,insani,2,800,650,850,pistol,1,550b985a66c74143
76561198283989223,ultimate,3,800,650,850,pistol,1,550b985a66c74143
76561197985565685," saffee",2,800,650,850,pistol,1,550b985a66c74143
76561198016255205,Twistzz,3,800,650,1150,pistol,1,550b985a66c74143
76561198001151695," NAF-FLY",3,800,700,900,pistol,1,550b985a66c74143
76561198134401925,YEKINDAR,3,800,700,600,pistol,1,550b985a66c74143
76561198388056582,drop,2,800,700,900,pistol,1,550b985a66c74143
76561197977105184,jks,3,800,650,950,pistol,1,550b985a66c74143
76561198134401925,YEKINDAR,3,2000,1900,2100,force-buy,2,550b985a66c74143
76561197977105184,jks,3,2050,2000,2000,force-buy,2,550b985a66c74143
76561198061423730,insani,2,3400,2950,3800,semi,2,550b985a66c74143
76561198001151695," NAF-FLY",3,2300,2250,2450,force-buy,2,550b985a66c74143
76561198283989223,ultimate,3,2050,1150,1150,semi,2,550b985a66c74143
76561197985565685," saffee",2,4300,4200,4400,full,2,550b985a66c74143
76561198016255205,Twistzz,3,2050,2050,2050,force-buy,2,550b985a66c74143
76561198388056582,drop,2,3350,3250,3450,semi,2,550b985a66c74143
76561198010496342,exit,2,4000,3850,4700,full,2,550b985a66c74143
76561198157388473,Lucaozy,2,3700,3700,3900,semi,2,550b985a66c74143
76561198016255205,Twistzz,3,2700,700,700,eco,3,550b985a66c74143
76561198157388473,Lucaozy,2,3250,2200,4200,full,3,550b985a66c74143
76561198001151695," NAF-FLY",3,2450,300,300,eco,3,550b985a66c74143
76561198134401925,YEKINDAR,3,2500,0,200,eco,3,550b985a66c74143
76561197985565685," saffee",2,3950,800,5500,full,3,550b985a66c74143
76561198388056582,drop,2,3650,2200,5100,full,3,550b985a66c74143
76561197977105184,jks,3,2450,300,300,eco,3,550b985a66c74143
76561198010496342,exit,2,3700,3600,5100,full,3,550b985a66c74143
76561198061423730,insani,2,4300,3700,5100,full,3,550b985a66c74143
76561198283989223,ultimate,3,3600,700,700,eco,3,550b985a66c74143
76561198134401925,YEKINDAR,3,5400,5200,5400,full,4,550b985a66c74143
76561197985565685," saffee",2,6400,700,5500,full,4,550b985a66c74143
76561198388056582,drop,2,5000,3400,5100,full,4,550b985a66c74143
76561197977105184,jks,3,5350,5200,5400,full,4,550b985a66c74143
76561198010496342,exit,2,4250,2200,5100,full,4,550b985a66c74143
76561198157388473,Lucaozy,2,4900,1000,5200,full,4,550b985a66c74143
76561198061423730,insani,2,3850,200,5100,full,4,550b985a66c74143
76561198001151695," NAF-FLY",3,5050,4900,5100,full,4,550b985a66c74143
76561198283989223,ultimate,3,5800,5750,5950,full,4,550b985a66c74143
76561198016255205,Twistzz,3,4900,4850,5050,full,4,550b985a66c74143
76561198016255205,Twistzz,3,3450,1700,5800,full,5,550b985a66c74143
76561197977105184,jks,3,3550,600,5400,full,5,550b985a66c74143
76561198010496342,exit,2,5550,1850,5100,full,5,550b985a66c74143
76561198283989223,ultimate,3,3450,1700,7650,full,5,550b985a66c74143
76561198388056582,drop,2,5400,1000,5100,full,5,550b985a66c74143
76561198157388473,Lucaozy,2,7400,1350,5200,full,5,550b985a66c74143
76561198061423730,insani,2,7150,1200,5100,full,5,550b985a66c74143
76561198001151695," NAF-FLY",3,3550,1200,5800,full,5,550b985a66c74143
76561198134401925,YEKINDAR,3,3600,1100,5400,full,5,550b985a66c74143
76561197985565685," saffee",2,9200,1000,5600,full,5,550b985a66c74143
76561198134401925,YEKINDAR,3,6000,4850,5050,full,6,550b985a66c74143
76561198283989223,ultimate,3,5750,1300,7750,full,6,550b985a66c74143
76561198388056582,drop,2,7300,4800,5000,full,6,550b985a66c74143
76561198157388473,Lucaozy,2,8350,800,5300,full,6,550b985a66c74143
76561198001151695," NAF-FLY",3,5850,5250,5450,full,6,550b985a66c74143
76561197985565685," saffee",2,10200,4800,5000,full,6,550b985a66c74143
76561198016255205,Twistzz,3,5550,5200,5400,full,6,550b985a66c74143
76561197977105184,jks,3,6750,4850,5050,full,6,550b985a66c74143
76561198010496342,exit,2,5700,4900,5100,full,6,550b985a66c74143
76561198061423730,insani,2,8250,4700,4900,full,6,550b985a66c74143
76561198001151695," NAF-FLY",3,4150,950,5600,full,7,550b985a66c74143
76561198134401925,YEKINDAR,3,5000,4650,5050,full,7,550b985a66c74143
76561198388056582,drop,2,4400,4400,4800,full,7,550b985a66c74143
76561197977105184,jks,3,5450,700,5150,full,7,550b985a66c74143
76561198010496342,exit,2,2700,2200,5100,full,7,550b985a66c74143
76561198157388473,Lucaozy,2,9450,5100,5100,full,7,550b985a66c74143
76561198061423730,insani,2,5750,4900,5100,full,7,550b985a66c74143
76561198283989223,ultimate,3,7700,500,7750,full,7,550b985a66c74143
76561197985565685," saffee",2,5400,3100,5000,full,7,550b985a66c74143
76561198016255205,Twistzz,3,3600,1300,5200,full,7,550b985a66c74143
76561198001151695," NAF-FLY",3,6450,1100,5600,full,8,550b985a66c74143
76561198134401925,YEKINDAR,3,4200,1100,4850,full,8,550b985a66c74143
76561197985565685," saffee",2,4700,2100,1800,semi,8,550b985a66c74143
76561198388056582,drop,2,3000,800,800,eco,8,550b985a66c74143
76561197977105184,jks,3,8300,5200,5400,full,8,550b985a66c74143
76561198010496342,exit,2,2900,950,1250,semi,8,550b985a66c74143
76561198157388473,Lucaozy,2,7050,4500,4700,full,8,550b985a66c74143
76561198283989223,ultimate,3,10550,7750,7750,full,8,550b985a66c74143
76561198016255205,Twistzz,3,5850,5600,5800,full,8,550b985a66c74143
