number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1018,1265,2712,3442,7227,8579,7675,9119,Team Liquid,MIBR,0,1,3,2,4000,4000,4250,4400,3250,3400,pistol,pistol,92329,9,MIBR,2,0,e2c504ef47a8744b
2,7675,9119,8955,10957,11035,13491,11483,14034,Team Liquid,MIBR,0,2,3,2,11150,18650,1200,19900,200,18200,eco,semi,55190,9,MIBR,2,0,e2c504ef47a8744b
3,11483,14034,12763,15881,22608,27478,23056,28050,Team Liquid,MIBR,0,3,3,2,23250,18200,24200,23500,22800,7400,full,full,169711,1,MIBR,2,0,e2c504ef47a8744b
4,23056,28050,24336,29920,31284,38295,31732,38845,Team Liquid,MIBR,1,3,3,2,15550,29800,10350,25400,6200,12700,semi,full,129328,7,Team Liquid,3,0,e2c504ef47a8744b
5,34786,42720,36066,44408,44490,54389,44938,54917,Team Liquid,MIBR,1,4,3,2,28950,28000,28900,24400,17700,23400,full,full,147304,1,MIBR,2,0,e2c504ef47a8744b
6,44938,54917,46218,56766,53578,65438,54026,65962,Team Liquid,MIBR,2,4,3,2,24150,23300,28550,27450,18700,16700,full,full,132812,12,Team Liquid,3,0,e2c504ef47a8744b
7,54026,65962,55306,67822,61335,74938,61783,75454,Team Liquid,MIBR,3,4,3,2,22100,9400,29550,24100,5700,6750,full,full,113309,8,Team Liquid,3,0,e2c504ef47a8744b
8,61783,75454,63063,77294,66930,81917,67378,82491,Team Liquid,MIBR,4,4,3,2,33950,13350,29150,5300,23850,4500,full,semi,81586,8,Team Liquid,3,0,e2c504ef47a8744b
9,67378,82491,68658,84427,73458,90277,73906,90797,Team Liquid,MIBR,4,5,3,2,27450,21150,29950,22350,9200,20950,full,full,98287,1,MIBR,2,0,e2c504ef47a8744b
10,77033,95022,78313,96868,85673,105728,86121,106243,Team Liquid,MIBR,5,5,3,2,26750,19200,29950,19700,21150,18800,full,semi,135148,12,Team Liquid,3,0,e2c504ef47a8744b
11,86121,106243,87401,108086,93728,115715,94176,116256,Team Liquid,MIBR,6,5,3,2,23050,7000,26600,10000,17400,6600,full,force-buy,119570,7,Team Liquid,3,0,e2c504ef47a8744b
12,94176,116256,95456,118243,99972,123863,103460,127774,Team Liquid,MIBR,7,5,3,2,24950,16300,30550,17200,15750,15800,full,force-buy,96027,8,Team Liquid,3,0,e2c504ef47a8744b
13,103460,127774,105156,129968,111537,137262,111985,137812,Team Liquid,MIBR,8,5,2,3,4000,4000,4350,4200,3350,3400,pistol,pistol,119772,1,Team Liquid,2,0,e2c504ef47a8744b
14,111985,137812,113265,139650,120770,148654,121218,149163,Team Liquid,MIBR,9,5,2,3,19350,10400,18650,11300,17000,9000,semi,force-buy,136865,1,Team Liquid,2,0,e2c504ef47a8744b
15,121218,149163,122498,150974,126450,155703,126898,156228,Team Liquid,MIBR,10,5,2,3,20750,14000,21100,10350,8800,800,full,semi,82558,9,Team Liquid,2,0,e2c504ef47a8744b
16,126898,156228,128178,158090,134128,165298,134576,165830,Team Liquid,MIBR,11,5,2,3,30300,29200,23350,28500,13150,27500,full,full,114496,1,Team Liquid,2,0,e2c504ef47a8744b
17,136917,168970,138197,170787,141798,175378,142246,175928,Team Liquid,MIBR,12,5,2,3,35850,19500,21800,27400,16700,15650,full,full,80892,9,Team Liquid,2,0,e2c504ef47a8744b
18,142246,175928,143526,177833,148360,183773,148360,183773,Team Liquid,MIBR,13,5,2,3,42650,17350,25500,22400,12900,21100,full,force-buy,99032,9,Team Liquid,2,0,e2c504ef47a8744b
