frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
5518,4210,1,insani,76561198061423730,3,MIBR,xertioN,76561198193174134,2,MOUZ,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1262.963135,-1313.506226,-169.975281,0,0,-899.741150,-1393.859863,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,9.529220,784c2b49e66c4b7d
5725,4389,1,insani,76561198061423730,3,MIBR,torzsi,76561198355739212,2,MOUZ,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1242.793091,-1129.891602,-167.968750,0,0,-1025.692139,-1517.990845,-163.678223,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,11.328017,784c2b49e66c4b7d
5865,4512,1,Brollan,76561198138828475,2,MOUZ,Lucaozy,76561198157388473,3,MIBR,,0,0,,Glock-18,pistol,1,0,0,0,0,0,68.536720,-2203.433838,-39.968750,0,0,-1311.824707,-1159.713623,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,44.111732,784c2b49e66c4b7d
6149,4764,1,Jimpphat,76561198855375325,2,MOUZ,insani,76561198061423730,3,MIBR,Brollan,76561198138828475,2,MOUZ,Glock-18,pistol,0,0,0,0,0,0,-406.819580,-1765.989136,-170.174316,0,0,-1275.921875,-1359.453613,-165.745178,0,0,0,46.897476,-2203.151367,-39.968750,0,0,0,0,24.443600,784c2b49e66c4b7d
6173,4784,1," saffee",76561197985565685,3,MIBR,Brollan,76561198138828475,2,MOUZ,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1295.185059,-1171.234253,-167.968750,0,0,47.129143,-2213.117676,-39.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,43.286289,784c2b49e66c4b7d
6478,5055,1," saffee",76561197985565685,3,MIBR,siuhy,76561198150673360,2,MOUZ,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1128.531006,-1146.911133,-167.968750,0,0,-1214.192261,-617.456726,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,13.623815,784c2b49e66c4b7d
6610,5175,1,exit,76561198010496342,3,MIBR,Jimpphat,76561198855375325,2,MOUZ,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1029.807861,-2477.000488,-167.968750,0,0,-494.348389,-2109.867920,-179.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,16.569962,784c2b49e66c4b7d
11962,9282,2,Brollan,76561198138828475,2,MOUZ,exit,76561198010496342,3,MIBR,,0,0,,Desert Eagle,pistol,1,0,0,0,0,0,327.360840,-1501.946289,-175.968750,0,0,-768.454956,-2071.885498,-179.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,31.373493,784c2b49e66c4b7d
15425,12291,2," saffee",76561197985565685,3,MIBR,Jimpphat,76561198855375325,2,MOUZ,,0,0,,M4A1,rifle,0,1,0,0,0,0,-1999.417969,-192.680115,-166.934814,0,0,-2179.051025,696.908203,-128.999146,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,23.130009,784c2b49e66c4b7d
16053,12844,2,drop,76561198388056582,3,MIBR,torzsi,76561198355739212,2,MOUZ,,0,0,,MP9,smg,0,0,0,0,0,0,-2333.169189,328.617310,-167.968750,0,0,-2129.357178,830.303955,-122.739197,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,13.803590,784c2b49e66c4b7d
16078,12865,2,Lucaozy,76561198157388473,3,MIBR,Brollan,76561198138828475,2,MOUZ,exit,76561198010496342,3,MIBR,MP9,smg,0,0,0,0,0,0,-1124.739502,669.453369,-79.968750,0,0,-1709.296143,749.311829,-47.968750,0,0,0,-768.454956,-2071.885498,-179.968750,0,0,0,0,14.894876,784c2b49e66c4b7d
16239,13000,2,drop,76561198388056582,3,MIBR,siuhy,76561198150673360,2,MOUZ,,0,0,,MP9,smg,1,0,0,0,0,0,-2017.151367,375.136597,-159.968750,0,0,-2224.564941,767.742798,-127.869446,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,11.306176,784c2b49e66c4b7d
16570,13276,2,insani,76561198061423730,3,MIBR,xertioN,76561198193174134,2,MOUZ,,0,0,,M4A1,rifle,0,0,0,0,0,0,-1285.940552,-1152.716919,-167.968750,0,0,-978.676208,-1523.220825,-166.288452,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,12.226611,784c2b49e66c4b7d
23421,18467,3," saffee",76561197985565685,3,MIBR,siuhy,76561198150673360,2,MOUZ,insani,76561198061423730,3,MIBR,M4A1,rifle,1,0,0,0,0,0,-1194.615723,-659.408142,-167.968750,0,0,445.207336,-803.046631,-159.968750,0,0,0,-703.478821,-857.730957,-255.099609,0,1,0,0,41.815788,784c2b49e66c4b7d
23495,18534,3,Jimpphat,76561198855375325,2,MOUZ," saffee",76561197985565685,3,MIBR,siuhy,76561198150673360,2,MOUZ,AK-47,rifle,1,0,0,0,0,0,-944.031738,-444.373169,-263.968750,0,0,-1162.531616,-720.962952,-167.968750,0,0,0,445.207336,-803.046631,-159.968750,1,0,0,0,9.201291,784c2b49e66c4b7d
23984,18948,3,Jimpphat,76561198855375325,2,MOUZ,insani,76561198061423730,3,MIBR,,0,0,,AK-47,rifle,1,0,0,0,0,0,-1014.672913,-418.459595,-326.735229,0,0,-541.392883,-1047.537476,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,20.341330,784c2b49e66c4b7d
24070,19022,3,torzsi,76561198355739212,2,MOUZ,Lucaozy,76561198157388473,3,MIBR,,0,0,,AK-47,rifle,1,0,0,0,0,0,401.790741,-826.897034,-164.839172,0,0,-900.455505,-257.460144,-167.719482,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,36.102203,784c2b49e66c4b7d
25969,20695,3,exit,76561198010496342,3,MIBR,Brollan,76561198138828475,2,MOUZ,,0,0,,M4A1,rifle,0,0,0,0,0,0,-876.527771,-2299.236328,-169.822266,0,0,80.188988,-2137.114014,-39.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,24.893375,784c2b49e66c4b7d
38070,30577,4,Jimpphat,76561198855375325,2,MOUZ,exit,76561198010496342,3,MIBR,siuhy,76561198150673360,2,MOUZ,AK-47,rifle,1,0,1,0,0,0,258.523285,-1524.832153,-175.968750,0,1,159.858078,-1508.911011,-175.968750,0,1,0,583.066711,-1470.668335,-259.255737,0,0,0,0,2.560238,784c2b49e66c4b7d
38575,30985,4,insani,76561198061423730,3,MIBR,Brollan,76561198138828475,2,MOUZ,,0,0,,AK-47,rifle,1,0,0,0,0,0,-526.758057,-1461.048462,-59.921204,0,0,74.075768,-2256.300293,-39.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,25.333647,784c2b49e66c4b7d
38657,31055,4,Jimpphat,76561198855375325,2,MOUZ,Lucaozy,76561198157388473,3,MIBR,Brollan,76561198138828475,2,MOUZ,AK-47,rifle,1,0,1,0,0,0,-108.655640,-1454.308716,-69.175354,0,0,-604.145203,-2265.944580,-178.557739,0,1,0,73.373528,-2256.680420,-39.968750,0,1,0,0,24.282396,784c2b49e66c4b7d
38972,31313,4,insani,76561198061423730,3,MIBR,Jimpphat,76561198855375325,2,MOUZ,,0,0,,AK-47,rifle,1,0,0,0,0,0,-524.354065,-1563.972290,-39.968750,0,0,-133.832275,-1522.745972,-53.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,10.008148,784c2b49e66c4b7d
39130,31456,4,insani,76561198061423730,3,MIBR,siuhy,76561198150673360,2,MOUZ,Lucaozy,76561198157388473,3,MIBR,AK-47,rifle,1,0,0,0,0,0,-534.918457,-1488.166992,-39.968750,0,0,-119.673706,-1779.816162,-167.968750,0,0,0,-604.145203,-2265.944580,-178.557739,0,0,0,0,13.249553,784c2b49e66c4b7d
39567,31840,4,insani,76561198061423730,3,MIBR,xertioN,76561198193174134,2,MOUZ,,0,0,,AK-47,rifle,1,0,0,0,0,0,-497.663452,-1391.979980,-115.176025,0,0,-618.040527,-1301.673584,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,3.988108,784c2b49e66c4b7d
47002,37510,5,insani,76561198061423730,3,MIBR,xertioN,76561198193174134,2,MOUZ,,0,0,,AK-47,rifle,1,0,0,0,0,0,-497.801636,-1516.019287,-39.968750,0,0,356.552307,-1595.935791,-190.241211,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,22.326624,784c2b49e66c4b7d
47326,37761,5,Jimpphat,76561198855375325,2,MOUZ,exit,76561198010496342,3,MIBR,,0,0,,Galil AR,rifle,1,0,0,0,0,0,9.848986,-1421.769897,-170.553467,0,0,-234.413208,-2182.713867,-169.523499,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,20.296282,784c2b49e66c4b7d
47440,37854,5,siuhy,76561198150673360,2,MOUZ,insani,76561198061423730,3,MIBR,,0,0,,Galil AR,rifle,0,0,0,0,0,0,90.257095,-1949.124878,-39.968750,0,0,-511.195312,-1528.271973,-39.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,18.641594,784c2b49e66c4b7d
47556,37957,5,Lucaozy,76561198157388473,3,MIBR,Brollan,76561198138828475,2,MOUZ,,0,0,,M4A1,rifle,0,0,0,0,0,0,-761.309509,-2184.069824,-179.968750,0,0,-191.852417,-2139.239502,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,14.506927,784c2b49e66c4b7d
47667,38048,5,siuhy,76561198150673360,2,MOUZ,Lucaozy,76561198157388473,3,MIBR,,0,0,,Galil AR,rifle,1,0,0,0,0,0,89.864090,-2071.020508,-167.968750,0,0,-711.925171,-2262.599365,-179.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,20.939096,784c2b49e66c4b7d
47786,38158,5,siuhy,76561198150673360,2,MOUZ," saffee",76561197985565685,3,MIBR,,0,0,,Galil AR,rifle,0,0,0,0,0,0,26.825806,-2075.377686,-167.968750,0,0,-759.632996,-1914.744507,-179.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,20.388783,784c2b49e66c4b7d
55671,44478,6,Brollan,76561198138828475,2,MOUZ,drop,76561198388056582,3,MIBR,,0,0,,AK-47,rifle,1,0,0,0,0,0,78.440269,-2156.475586,-39.968750,0,0,-324.148132,-2172.484375,-174.421021,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,10.805296,784c2b49e66c4b7d
56290,44994,6,exit,76561198010496342,3,MIBR,Jimpphat,76561198855375325,2,MOUZ," saffee",76561197985565685,3,MIBR,AK-47,rifle,1,0,1,0,0,0,-176.863159,-2169.292236,-167.968750,0,0,-121.036682,-1419.161621,-72.175354,0,1,0,-1280.000244,-1045.866699,-167.968750,0,0,0,0,19.271940,784c2b49e66c4b7d
57475,46021,6,xertioN,76561198193174134,2,MOUZ," saffee",76561197985565685,3,MIBR,,0,0,,AK-47,rifle,1,0,0,0,0,0,-520.033081,-1175.939575,-167.968750,0,0,-646.956055,-1257.119873,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,3.841256,784c2b49e66c4b7d
