frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
32373,26377,1,3,3,0,76561198179538505,Graviti,0,0,fb582ab0d92b58af
115126,93843,2,3,3,0,76561198179538505,Graviti,0,1,fb582ab0d92b58af
189950,155357,3,5,3,0,76561198045739761,夢 GOATESK ❦🌊🐐,0,0,fb582ab0d92b58af
197532,161352,4,2,3,0,76561198031890115,Lucky,0,0,fb582ab0d92b58af
205289,167183,5,5,3,0,76561198047876970," Djoko",0,0,fb582ab0d92b58af
214071,173661,6,2,3,0,76561198168198200,Ex3rcice,0,0,fb582ab0d92b58af
221477,179324,7,4,2,0,76561198355739212,torzsi,0,3,fb582ab0d92b58af
224624,182106,7,1,3,1,76561198031890115,Lucky,1,1,fb582ab0d92b58af
235172,190540,8,3,2,0,76561198355739212,torzsi,0,0,fb582ab0d92b58af
246020,199464,9,2,3,1,76561198045739761,夢 GOATESK ❦🌊🐐,1,2,fb582ab0d92b58af
246183,199610,9,1,2,0,76561198138828475,Brollan,0,0,fb582ab0d92b58af
250940,203156,10,5,2,0,76561198355739212,torzsi,1,0,fb582ab0d92b58af
269799,218818,11,2,3,0,76561198179538505,Graviti,0,1,fb582ab0d92b58af
270759,219667,11,1,2,1,76561198138828475,Brollan,1,1,fb582ab0d92b58af
280566,227494,12,3,2,0,76561198150673360,siuhy,0,0,fb582ab0d92b58af
291825,237111,13,4,3,0,76561198150673360,siuhy,0,0,fb582ab0d92b58af
311534,253342,15,2,3,0,76561198855375325,Jimpphat,1,0,fb582ab0d92b58af
318089,258403,16,5,2,0,76561198031890115,Lucky,0,1,fb582ab0d92b58af
327040,265496,17,3,2,0,76561198179538505,Graviti,0,0,fb582ab0d92b58af
337092,273746,18,4,2,0,76561198047876970," Djoko",0,0,fb582ab0d92b58af
348468,282709,19,3,2,0,76561198031890115,Lucky,0,1,fb582ab0d92b58af
356267,288913,20,3,2,0,76561198045739761,夢 GOATESK ❦🌊🐐,0,0,fb582ab0d92b58af
363098,294310,21,4,3,0,76561198855375325,Jimpphat,0,0,fb582ab0d92b58af
374599,303722,22,3,3,0,76561198355739212,torzsi,0,0,fb582ab0d92b58af
383003,310496,23,3,3,0,76561198193174134,xertioN,0,0,fb582ab0d92b58af
396317,321296,24,3,2,0,76561198045739761,夢 GOATESK ❦🌊🐐,0,0,fb582ab0d92b58af
