name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
Aleksib,76561198013243326,38,Natus Vincere,15,6,10,6,40,1.500000,100.000000,86.210526,0.789474,0.526316,11.315789,3,-1,0,0,0,1,0,0,1638,226,215,3,4,8,4,2,2,0,0,0,0,1,4,8,4,2,3,0,3,3,0,0,11,2,0,0,0,1.500679,1.108065,CSGO-SkoGm-N5yir-M8p3V-QyOxC-z2urD,1,0,b2e2a4d89e1c7d63
iM,76561198050250233,43,Natus Vincere,19,4,13,10,52,1.461538,78.947372,102.736839,1.000000,0.684211,4.263158,4,-1,0,0,0,1,0,0,1952,305,81,3,4,8,4,2,3,1,1,1,1,0,3,7,3,1,5,3,0,2,0,0,7,3,2,0,0,1.487216,1.368532,CSGO-rsDHb-QDmGE-VikD2-dApWC-kJCEB,3,0,b2e2a4d89e1c7d63
volt,76561198155754447,29,GamerLegion,11,3,16,6,54,0.687500,68.421051,71.789474,0.578947,0.842105,0.736842,0,-1,0,0,0,0,1,0,1364,95,14,3,4,8,4,2,2,0,0,0,0,1,4,8,4,2,1,1,3,3,0,0,5,3,0,0,0,0.858025,0.704432,CSGO-Enp9P-unU3i-zXDS4-XHFxB-LSJvM,2,0,b2e2a4d89e1c7d63
w0nderful,76561199063068840,31,Natus Vincere,10,3,7,5,50,1.428571,84.210526,62.473682,0.526316,0.368421,0.263158,2,-1,0,0,0,1,1,0,1187,118,5,4,5,9,5,3,3,1,1,1,1,1,4,8,4,2,2,3,2,1,0,1,8,1,0,0,0,1.150413,0.986803,CSGO-QKB9N-pqqyO-OX8bw-n78wK-5tbJD,4,0,b2e2a4d89e1c7d63
b1t,76561198246607476,35,Natus Vincere,14,4,9,10,71,1.555556,84.210526,76.421051,0.736842,0.473684,2.684211,1,-1,0,0,0,1,0,0,1452,251,51,3,4,8,4,2,2,0,0,0,0,1,4,8,4,2,1,0,4,1,0,0,8,3,0,0,0,1.326159,1.137666,CSGO-TpLLK-EJ5vT-aYEpF-VphTW-k8aYO,0,0,b2e2a4d89e1c7d63
Tauson,76561198316706174,28,GamerLegion,12,2,16,5,41,0.750000,52.631580,69.631577,0.631579,0.842105,6.368421,1,-1,0,0,0,0,0,0,1323,167,121,4,5,9,5,3,2,0,0,0,0,2,5,9,5,3,1,4,2,2,0,1,4,1,2,0,0,0.776105,0.870524,CSGO-FSsT8-ACXnx-zmkHH-QWT4O-nND3J,4,0,b2e2a4d89e1c7d63
ztr,76561199009468655,29,GamerLegion,9,1,12,4,44,0.750000,73.684212,49.368420,0.473684,0.631579,0.631579,2,-1,0,0,0,3,0,0,938,147,12,6,7,11,7,5,2,0,0,0,0,4,7,11,7,5,1,2,5,3,0,0,5,2,0,0,0,0.835419,0.758135,CSGO-rZpZ7-WswDB-rtrYT-t8ANs-8t8rN,3,0,b2e2a4d89e1c7d63
FL4MUS,76561198014259134,21,GamerLegion,5,6,15,4,80,0.333333,63.157890,35.473682,0.263158,0.789474,0.000000,1,-1,0,0,0,1,0,0,674,104,0,3,4,8,4,2,2,0,0,0,0,1,4,8,4,2,3,3,0,3,0,0,5,0,0,0,0,0.474223,0.392047,CSGO-zeqNx-y7zGf-AkBeN-rxxNO-Vy6KQ,1,0,b2e2a4d89e1c7d63
jL,76561198176878303,33,Natus Vincere,13,3,11,5,38,1.181818,84.210526,66.947365,0.684211,0.578947,3.421053,3,-1,0,0,0,1,0,0,1272,242,65,2,3,7,3,1,2,0,0,0,0,0,3,7,3,1,1,1,2,5,0,0,8,1,1,0,0,1.189013,1.038133,CSGO-c68xc-BqYKf-Hoh86-tJ6ht-VAYXC,2,0,b2e2a4d89e1c7d63
sl3nd,76561198098071693,36,GamerLegion,13,2,12,5,38,1.083333,78.947372,81.157898,0.684211,0.631579,0.736842,2,-1,0,0,0,1,0,0,1542,123,14,5,6,10,6,4,2,0,0,0,0,3,6,10,6,4,1,2,3,3,0,1,6,2,1,0,0,1.162775,1.025618,CSGO-BMhVH-vReNe-c7Pw5-nw6aj-qvbJD,0,0,b2e2a4d89e1c7d63
