steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198014259134,FL4MUS,2,800,800,1000,pistol,1,b2e2a4d89e1c7d63
76561198050250233,iM,3,800,650,1250,pistol,1,b2e2a4d89e1c7d63
76561198246607476,b1t,3,800,650,850,pistol,1,b2e2a4d89e1c7d63
76561198176878303,jL,3,800,800,400,pistol,1,b2e2a4d89e1c7d63
76561198155754447,volt,2,800,650,850,pistol,1,b2e2a4d89e1c7d63
76561198098071693,sl3nd,2,800,650,1050,pistol,1,b2e2a4d89e1c7d63
76561198013243326,Aleksib,3,800,650,1150,pistol,1,b2e2a4d89e1c7d63
76561199063068840,w0nderful,3,800,650,850,pistol,1,b2e2a4d89e1c7d63
76561198316706174,Tauson,2,800,650,1150,pistol,1,b2e2a4d89e1c7d63
76561199009468655,ztr,2,800,700,900,pistol,1,b2e2a4d89e1c7d63
76561198050250233,iM,3,3700,3550,3750,semi,2,b2e2a4d89e1c7d63
76561198246607476,b1t,3,3400,2400,3350,semi,2,b2e2a4d89e1c7d63
76561198316706174,Tauson,2,2050,0,200,eco,2,b2e2a4d89e1c7d63
76561199009468655,ztr,2,2300,0,200,eco,2,b2e2a4d89e1c7d63
76561198176878303,jL,3,3550,3350,3550,semi,2,b2e2a4d89e1c7d63
76561198155754447,volt,2,2050,0,200,eco,2,b2e2a4d89e1c7d63
76561198098071693,sl3nd,2,2350,0,200,eco,2,b2e2a4d89e1c7d63
76561198013243326,Aleksib,3,4000,3850,5200,full,2,b2e2a4d89e1c7d63
76561199063068840,w0nderful,3,3700,3550,4900,full,2,b2e2a4d89e1c7d63
76561198014259134,FL4MUS,2,1900,0,200,eco,2,b2e2a4d89e1c7d63
76561198176878303,jL,3,4050,1000,3750,semi,3,b2e2a4d89e1c7d63
76561198050250233,iM,3,4600,1000,3750,semi,3,b2e2a4d89e1c7d63
76561198098071693,sl3nd,2,4750,4600,4800,full,3,b2e2a4d89e1c7d63
76561198013243326,Aleksib,3,4000,1700,5800,full,3,b2e2a4d89e1c7d63
76561199063068840,w0nderful,3,3400,1000,5400,full,3,b2e2a4d89e1c7d63
76561198246607476,b1t,3,4250,1300,3850,semi,3,b2e2a4d89e1c7d63
76561199009468655,ztr,2,4700,4600,4800,full,3,b2e2a4d89e1c7d63
76561198014259134,FL4MUS,2,4300,4300,4500,full,3,b2e2a4d89e1c7d63
76561198155754447,volt,2,4450,4400,4600,full,3,b2e2a4d89e1c7d63
76561198316706174,Tauson,2,4450,4400,4600,full,3,b2e2a4d89e1c7d63
76561199063068840,w0nderful,3,3800,2350,7200,full,4,b2e2a4d89e1c7d63
76561198246607476,b1t,3,4350,2700,5800,full,4,b2e2a4d89e1c7d63
76561198014259134,FL4MUS,2,3500,1000,4900,full,4,b2e2a4d89e1c7d63
76561198176878303,jL,3,5050,5050,4900,full,4,b2e2a4d89e1c7d63
76561198050250233,iM,3,5000,4950,5150,full,4,b2e2a4d89e1c7d63
76561198098071693,sl3nd,2,3650,1100,5000,full,4,b2e2a4d89e1c7d63
76561198013243326,Aleksib,3,3700,3700,5800,full,4,b2e2a4d89e1c7d63
76561198316706174,Tauson,2,3850,2200,5100,full,4,b2e2a4d89e1c7d63
76561199009468655,ztr,2,3900,1200,5100,full,4,b2e2a4d89e1c7d63
76561198155754447,volt,2,4150,3800,5000,full,4,b2e2a4d89e1c7d63
76561198176878303,jL,3,3250,800,5200,full,5,b2e2a4d89e1c7d63
76561198155754447,volt,2,2550,2500,2700,force-buy,5,b2e2a4d89e1c7d63
76561198316706174,Tauson,2,3550,3500,3700,force-buy,5,b2e2a4d89e1c7d63
76561199009468655,ztr,2,4600,4600,4800,full,5,b2e2a4d89e1c7d63
76561198050250233,iM,3,4200,2700,5900,full,5,b2e2a4d89e1c7d63
76561198098071693,sl3nd,2,4450,4400,4600,full,5,b2e2a4d89e1c7d63
76561198013243326,Aleksib,3,3550,300,5500,full,5,b2e2a4d89e1c7d63
76561199063068840,w0nderful,3,5000,800,7200,full,5,b2e2a4d89e1c7d63
76561198246607476,b1t,3,4900,3300,5600,full,5,b2e2a4d89e1c7d63
76561198014259134,FL4MUS,2,4400,4300,4500,full,5,b2e2a4d89e1c7d63
76561198014259134,FL4MUS,2,3600,1600,4500,full,6,b2e2a4d89e1c7d63
76561198176878303,jL,3,3850,3550,3750,force-buy,6,b2e2a4d89e1c7d63
76561198050250233,iM,3,3200,2300,5500,full,6,b2e2a4d89e1c7d63
76561198155754447,volt,2,3550,800,5000,full,6,b2e2a4d89e1c7d63
76561198098071693,sl3nd,2,4150,1200,5100,full,6,b2e2a4d89e1c7d63
76561198013243326,Aleksib,3,4650,4000,5600,full,6,b2e2a4d89e1c7d63
76561198246607476,b1t,3,3000,2300,5500,full,6,b2e2a4d89e1c7d63
76561198316706174,Tauson,2,4150,1200,5400,full,6,b2e2a4d89e1c7d63
76561199063068840,w0nderful,3,5600,4100,7300,full,6,b2e2a4d89e1c7d63
76561199009468655,ztr,2,3500,3400,4800,full,6,b2e2a4d89e1c7d63
76561198013243326,Aleksib,3,4450,4350,5050,full,7,b2e2a4d89e1c7d63
76561198246607476,b1t,3,4800,4700,5200,full,7,b2e2a4d89e1c7d63
76561198316706174,Tauson,2,5850,5800,5100,full,7,b2e2a4d89e1c7d63
76561199009468655,ztr,2,2700,2200,5100,full,7,b2e2a4d89e1c7d63
76561198014259134,FL4MUS,2,4300,2400,5100,full,7,b2e2a4d89e1c7d63
76561198176878303,jL,3,4400,4350,4550,full,7,b2e2a4d89e1c7d63
76561198050250233,iM,3,4400,4400,4900,full,7,b2e2a4d89e1c7d63
76561198098071693,sl3nd,2,4950,4400,6650,full,7,b2e2a4d89e1c7d63
76561199063068840,w0nderful,3,5300,5200,4900,full,7,b2e2a4d89e1c7d63
76561198155754447,volt,2,4750,4600,4800,full,7,b2e2a4d89e1c7d63
76561198050250233,iM,3,3250,1400,5800,full,8,b2e2a4d89e1c7d63
76561198013243326,Aleksib,3,3650,1550,5800,full,8,b2e2a4d89e1c7d63
76561199063068840,w0nderful,3,3650,3500,5100,full,8,b2e2a4d89e1c7d63
76561198316706174,Tauson,2,1950,1800,4200,full,8,b2e2a4d89e1c7d63
76561199009468655,ztr,2,500,400,2700,force-buy,8,b2e2a4d89e1c7d63
76561198014259134,FL4MUS,2,3800,3700,4200,full,8,b2e2a4d89e1c7d63
76561198176878303,jL,3,3600,2500,5400,full,8,b2e2a4d89e1c7d63
76561198155754447,volt,2,2350,2200,2200,force-buy,8,b2e2a4d89e1c7d63
76561198098071693,sl3nd,2,550,400,6650,full,8,b2e2a4d89e1c7d63
76561198246607476,b1t,3,3350,800,5200,full,8,b2e2a4d89e1c7d63
76561198050250233,iM,3,5400,800,6100,full,9,b2e2a4d89e1c7d63
76561198155754447,volt,2,2650,700,700,eco,9,b2e2a4d89e1c7d63
76561198098071693,sl3nd,2,2550,700,700,eco,9,b2e2a4d89e1c7d63
76561198013243326,Aleksib,3,5650,5600,5800,full,9,b2e2a4d89e1c7d63
76561199063068840,w0nderful,3,3700,2700,7650,full,9,b2e2a4d89e1c7d63
76561198316706174,Tauson,2,2550,300,300,eco,9,b2e2a4d89e1c7d63
76561198176878303,jL,3,4650,1100,5400,full,9,b2e2a4d89e1c7d63
76561198246607476,b1t,3,6100,4000,5200,full,9,b2e2a4d89e1c7d63
76561199009468655,ztr,2,2500,600,600,eco,9,b2e2a4d89e1c7d63
76561198014259134,FL4MUS,2,2800,700,700,eco,9,b2e2a4d89e1c7d63
76561198246607476,b1t,3,5650,5300,5500,full,10,b2e2a4d89e1c7d63
76561199009468655,ztr,2,4800,4800,2600,force-buy,10,b2e2a4d89e1c7d63
76561198014259134,FL4MUS,2,5000,4900,5100,full,10,b2e2a4d89e1c7d63
76561198176878303,jL,3,7100,3500,5600,full,10,b2e2a4d89e1c7d63
76561198050250233,iM,3,8150,5700,5900,full,10,b2e2a4d89e1c7d63
76561198013243326,Aleksib,3,3300,2500,5800,full,10,b2e2a4d89e1c7d63
76561199063068840,w0nderful,3,4450,800,7650,full,10,b2e2a4d89e1c7d63
76561198316706174,Tauson,2,6350,6250,4400,full,10,b2e2a4d89e1c7d63
76561198155754447,volt,2,4850,4800,5000,full,10,b2e2a4d89e1c7d63
76561198098071693,sl3nd,2,2450,2400,6850,full,10,b2e2a4d89e1c7d63
76561198155754447,volt,2,3300,2350,2550,semi,11,b2e2a4d89e1c7d63
76561198098071693,sl3nd,2,3600,3200,7050,full,11,b2e2a4d89e1c7d63
76561198013243326,Aleksib,3,2500,2500,5050,full,11,b2e2a4d89e1c7d63
76561199063068840,w0nderful,3,5050,4850,5050,full,11,b2e2a4d89e1c7d63
76561198014259134,FL4MUS,2,3350,1800,5100,full,11,b2e2a4d89e1c7d63
76561198050250233,iM,3,4150,4050,4750,full,11,b2e2a4d89e1c7d63
76561198246607476,b1t,3,2050,2000,2000,force-buy,11,b2e2a4d89e1c7d63
76561198316706174,Tauson,2,3350,2200,5100,full,11,b2e2a4d89e1c7d63
76561199009468655,ztr,2,4150,3600,5300,full,11,b2e2a4d89e1c7d63
76561198176878303,jL,3,5000,4650,3200,force-buy,11,b2e2a4d89e1c7d63
76561199009468655,ztr,2,4050,400,5300,full,12,b2e2a4d89e1c7d63
76561198014259134,FL4MUS,2,5650,4100,5600,full,12,b2e2a4d89e1c7d63
76561198176878303,jL,3,2250,2150,3600,force-buy,12,b2e2a4d89e1c7d63
76561198098071693,sl3nd,2,3900,2550,7350,full,12,b2e2a4d89e1c7d63
