frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
5108,3912,1,FL4MUS,76561198014259134,2,GamerLegion,jL,76561198176878303,3,Natus Vincere,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-814.072449,-13.801453,-168.515198,0,0,-904.054565,270.493805,-169.562500,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,7.518462,4f38eb5b1d370d88
5204,3994,1,sl3nd,76561198098071693,2,GamerLegion,w0nderful,76561199063068840,3,Natus Vincere,,0,0,,P250,pistol,1,0,0,0,0,0,-797.127014,-217.167236,-159.968750,0,0,-1265.446899,-945.730774,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,21.962435,4f38eb5b1d370d88
5272,4055,1,FL4MUS,76561198014259134,2,GamerLegion,Aleksib,76561198013243326,3,Natus Vincere,ztr,76561199009468655,2,GamerLegion,Glock-18,pistol,0,0,1,0,0,0,-878.841431,227.935608,-172.109619,0,0,-2281.142090,206.761902,-167.968750,0,1,0,-1513.109253,717.163391,-47.968750,0,0,0,0,35.627899,4f38eb5b1d370d88
6508,5140,1,iM,76561198050250233,3,Natus Vincere,sl3nd,76561198098071693,2,GamerLegion,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1522.479370,-896.209717,-176.313110,0,0,-1960.654541,-236.824402,-163.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,20.114212,4f38eb5b1d370d88
6657,5272,1,iM,76561198050250233,3,Natus Vincere,FL4MUS,76561198014259134,2,GamerLegion,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1529.991333,-812.234009,-167.968750,0,0,-1971.504761,-428.403320,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,14.866688,4f38eb5b1d370d88
7517,6026,1,volt,76561198155754447,2,GamerLegion,iM,76561198050250233,3,Natus Vincere,FL4MUS,76561198014259134,2,GamerLegion,P250,pistol,1,0,0,0,0,0,-755.706238,68.625725,-165.968750,0,0,-1592.963867,204.939713,-169.034790,0,0,0,-1971.392700,-428.273499,-167.968750,0,0,0,0,21.558613,4f38eb5b1d370d88
7757,6242,1,Tauson,76561198316706174,2,GamerLegion,b1t,76561198246607476,3,Natus Vincere,,0,0,,USP-S,pistol,1,0,0,0,0,0,-2431.644043,473.514557,-166.296570,0,0,-2173.098633,93.257584,-159.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,11.704941,4f38eb5b1d370d88
13778,10871,2,ztr,76561199009468655,2,GamerLegion,Aleksib,76561198013243326,3,Natus Vincere,,0,0,,UMP-45,smg,0,0,0,0,0,0,-1025.586548,108.704369,-169.348938,0,0,-2275.778809,310.599182,-166.912476,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,32.166416,4f38eb5b1d370d88
13897,10974,2,Tauson,76561198316706174,2,GamerLegion,w0nderful,76561199063068840,3,Natus Vincere,,0,0,,Galil AR,rifle,0,0,0,0,0,0,-2059.799805,449.434875,-159.968750,0,0,-1897.356201,420.124084,-89.941528,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,4.553833,4f38eb5b1d370d88
13952,11025,2,Tauson,76561198316706174,2,GamerLegion,jL,76561198176878303,3,Natus Vincere,volt,76561198155754447,2,GamerLegion,Galil AR,rifle,0,0,0,0,0,0,-2028.403320,537.582275,-165.718750,0,0,-1315.296631,514.214172,-162.236267,0,0,0,-2163.734131,542.220032,-163.022156,0,0,0,0,18.170347,4f38eb5b1d370d88
14058,11116,2,volt,76561198155754447,2,GamerLegion,iM,76561198050250233,3,Natus Vincere,,0,0,,Galil AR,rifle,1,0,0,0,0,0,-2283.646240,509.833588,-167.968750,0,0,-2271.522461,2.364725,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,12.894215,4f38eb5b1d370d88
14245,11282,2,FL4MUS,76561198014259134,2,GamerLegion,b1t,76561198246607476,3,Natus Vincere,,0,0,,AK-47,rifle,1,0,0,0,0,0,-549.398743,-1021.071777,-167.968750,0,0,-744.503662,-605.148071,-269.355347,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,11.976997,4f38eb5b1d370d88
18164,14141,3,w0nderful,76561199063068840,3,Natus Vincere,ztr,76561199009468655,2,GamerLegion,jL,76561198176878303,3,Natus Vincere,M4A1,rifle,0,0,0,0,0,0,-807.412476,-1205.109985,-167.968750,0,0,-493.474365,-559.088867,-273.968750,0,0,0,-1061.474365,-538.728455,-263.968750,0,0,0,0,18.453011,4f38eb5b1d370d88
18491,14413,3,sl3nd,76561198098071693,2,GamerLegion,jL,76561198176878303,3,Natus Vincere,,0,0,,AK-47,rifle,1,0,0,0,0,0,500.234406,-803.764893,-160.090210,0,0,-687.923584,-778.706360,-261.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,30.394436,4f38eb5b1d370d88
19105,14915,3,w0nderful,76561199063068840,3,Natus Vincere,volt,76561198155754447,2,GamerLegion,b1t,76561198246607476,3,Natus Vincere,M4A1,rifle,0,0,0,0,0,0,-848.552612,-1358.287476,-167.968750,0,0,-392.330505,-1801.305298,-170.455994,0,0,0,-890.536743,-1412.604370,-167.968750,0,0,0,0,16.161234,4f38eb5b1d370d88
19162,14964,3,b1t,76561198246607476,3,Natus Vincere,Tauson,76561198316706174,2,GamerLegion,w0nderful,76561199063068840,3,Natus Vincere,M4A1,rifle,1,0,0,0,0,0,-856.784607,-1380.346680,-167.968750,0,0,63.162811,-2186.929688,-39.968750,0,0,0,-838.636780,-1342.438354,-167.968750,0,0,0,0,31.222683,4f38eb5b1d370d88
21463,16992,3,w0nderful,76561199063068840,3,Natus Vincere,FL4MUS,76561198014259134,2,GamerLegion,,0,0,,M4A1,rifle,0,0,0,0,0,0,-1899.178589,-588.724976,-167.968750,0,0,-2110.390381,831.966919,-43.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,36.617176,4f38eb5b1d370d88
21771,17268,3,sl3nd,76561198098071693,2,GamerLegion,Aleksib,76561198013243326,3,Natus Vincere,,0,0,,AK-47,rifle,1,1,0,0,0,0,-1868.009766,755.570312,-47.968750,0,0,-2252.016602,552.216309,-160.940430,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,11.447355,4f38eb5b1d370d88
