number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1018,1359,2712,3812,7295,9145,7743,9701,Natus Vincere,Team Spirit,0,1,3,2,4000,4000,4350,4350,3550,3350,pistol,pistol,96690,9,Team Spirit,2,0,614394a2c0c3e48
2,7743,9701,9023,11728,11030,14221,11478,14790,Natus Vincere,Team Spirit,0,2,3,2,10550,18700,1700,17750,1300,16100,eco,semi,56131,9,Team Spirit,2,0,614394a2c0c3e48
3,11478,14790,12758,16892,19859,25419,20307,25955,Natus Vincere,Team Spirit,0,3,3,2,21250,21850,22450,20400,20750,6300,force-buy,full,131996,9,Team Spirit,2,0,614394a2c0c3e48
4,20307,25955,21587,27906,29456,37389,29904,37926,Natus Vincere,Team Spirit,0,4,3,2,15600,33900,6900,25300,6900,12500,semi,full,141993,9,Team Spirit,2,0,614394a2c0c3e48
5,32333,41168,33613,43202,39851,50791,40299,51326,Natus Vincere,Team Spirit,0,5,3,2,26600,39450,27150,27950,26150,18850,full,full,119503,9,Team Spirit,2,0,614394a2c0c3e48
6,40299,51326,41579,53290,48939,61977,49387,62501,Natus Vincere,Team Spirit,1,5,3,2,18350,38450,10400,25800,9500,15350,semi,full,132269,12,Natus Vincere,3,0,614394a2c0c3e48
7,51552,65394,52832,67250,61020,77136,61468,77702,Natus Vincere,Team Spirit,1,6,3,2,26600,30200,30000,26350,19800,25650,full,full,145817,9,Team Spirit,2,0,614394a2c0c3e48
8,61468,77702,62748,79789,68850,87004,69298,87529,Natus Vincere,Team Spirit,1,7,3,2,21900,22600,22000,27450,20500,13400,force-buy,full,115516,1,Team Spirit,2,0,614394a2c0c3e48
9,69298,87529,70578,89414,79817,100128,80264,100657,Natus Vincere,Team Spirit,2,7,3,2,19600,28200,15400,27450,10950,12000,semi,full,156460,7,Natus Vincere,3,0,614394a2c0c3e48
10,82518,103905,83798,105779,90536,113843,90984,114407,Natus Vincere,Team Spirit,2,8,3,2,27950,27700,29450,25750,23050,24550,full,full,123414,9,Team Spirit,2,0,614394a2c0c3e48
11,90984,114407,92264,116359,100388,126060,100836,126613,Natus Vincere,Team Spirit,2,9,3,2,20000,21200,12350,26000,11750,11050,semi,full,144712,9,Team Spirit,2,0,614394a2c0c3e48
12,100836,126613,102116,128547,108957,136775,112445,140786,Natus Vincere,Team Spirit,2,10,3,2,25250,28000,26850,28050,25050,13550,full,full,126196,9,Team Spirit,2,0,614394a2c0c3e48
13,112445,140786,114141,143213,118028,147806,118476,148359,Natus Vincere,Team Spirit,2,11,2,3,4000,4000,4650,4350,3450,3550,pistol,pistol,87177,7,Team Spirit,3,0,614394a2c0c3e48
14,118476,148359,119756,150293,122741,154056,123189,154609,Natus Vincere,Team Spirit,2,12,2,3,13950,19750,12750,22550,12150,18900,force-buy,full,70748,8,Team Spirit,3,0,614394a2c0c3e48
15,125506,157729,126786,159627,129969,163673,129969,163673,Natus Vincere,Team Spirit,2,13,2,3,15350,26750,13950,26100,13550,9900,force-buy,full,73815,8,Team Spirit,3,0,614394a2c0c3e48
