frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
9281,7722,1,5,2,0,76561198057282432,kyxsan,0,3,7251ef81f4d63579
19559,16123,2,4,2,0,76561198799340122," degster",0,0,7251ef81f4d63579
27302,22235,3,4,2,0,76561197996678278,TeSeS,0,0,7251ef81f4d63579
36026,29127,4,3,3,0,76561198045898864,chopper,0,1,7251ef81f4d63579
46144,37148,5,3,3,0,76561199063238565,magixx,0,0,7251ef81f4d63579
68697,55627,7,2,3,0,76561198995880877,zont1x,0,1,7251ef81f4d63579
68847,55747,7,1,2,1,76561198160709585,sjuush,1,1,7251ef81f4d63579
77847,63083,8,2,2,0,76561198160709585,sjuush,0,0,7251ef81f4d63579
86324,69968,9,4,2,0,76561198057282432,kyxsan,0,1,7251ef81f4d63579
94924,77034,10,4,2,0,76561197996678278,TeSeS,0,0,7251ef81f4d63579
105550,85440,11,4,2,0,76561198160709585,sjuush,0,0,7251ef81f4d63579
113565,91571,12,5,2,0,76561198057282432,kyxsan,0,1,7251ef81f4d63579
125584,101637,13,5,2,0,76561198045898864,chopper,0,0,7251ef81f4d63579
132998,107712,14,5,2,0,76561198081484775,sh1ro,0,0,7251ef81f4d63579
140781,113832,15,5,2,0,76561198081484775,sh1ro,0,1,7251ef81f4d63579
146045,117772,16,5,2,0,76561198081484775,sh1ro,0,1,7251ef81f4d63579
159307,128463,17,4,2,0,76561199063238565,magixx,0,1,7251ef81f4d63579
169552,136956,18,2,3,1,76561198053126645,NertZ,1,1,7251ef81f4d63579
169906,137264,18,1,2,0,76561198045898864,chopper,1,0,7251ef81f4d63579
180525,145671,19,4,2,0,76561198081484775,sh1ro,0,1,7251ef81f4d63579
190763,153500,20,2,2,1,76561199063238565,magixx,1,2,7251ef81f4d63579
190770,153506,20,1,3,0,76561197996678278,TeSeS,0,0,7251ef81f4d63579
198544,159458,21,4,2,0,76561198081484775,sh1ro,0,1,7251ef81f4d63579
209305,168177,22,5,2,1,76561198386265483,donk,1,5,7251ef81f4d63579
210296,169056,22,1,3,0,76561197996678278,TeSeS,0,0,7251ef81f4d63579
218265,174978,23,4,2,0,76561198995880877,zont1x,0,3,7251ef81f4d63579
221790,178054,23,1,3,1,76561198799340122," degster",1,1,7251ef81f4d63579
