number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1018,1336,2712,3569,7151,8748,7599,9290,HEROIC,Team Spirit,1,0,3,2,4000,4000,4200,4250,3400,3450,pistol,pistol,94288,8,HEROIC,3,0,cc72eab6abebddfb
2,7599,9290,8879,11235,14454,18113,14902,18649,HEROIC,Team Spirit,1,1,3,2,18350,10650,18300,9750,15400,9550,semi,force-buy,112238,1,Team Spirit,2,0,cc72eab6abebddfb
3,14902,18649,16182,20539,18299,23051,18747,23600,HEROIC,Team Spirit,1,2,3,2,7350,19500,17300,24500,5350,12050,semi,full,55998,9,Team Spirit,2,0,cc72eab6abebddfb
4,18747,23600,20027,25382,21043,26681,21491,27239,HEROIC,Team Spirit,1,3,3,2,11800,25200,1500,26600,500,5900,eco,full,39193,9,Team Spirit,2,0,cc72eab6abebddfb
5,21491,27239,22772,29051,30255,37467,30703,38008,HEROIC,Team Spirit,1,4,3,2,23300,37050,24150,26900,23150,1800,full,full,130111,9,Team Spirit,2,0,cc72eab6abebddfb
6,33191,41170,34471,42963,42499,52612,42947,53162,HEROIC,Team Spirit,1,5,3,2,15350,53300,6550,26300,6350,15550,semi,full,145554,1,Team Spirit,2,0,cc72eab6abebddfb
7,42947,53162,44227,54963,51721,63961,52169,64482,HEROIC,Team Spirit,1,6,3,2,26000,57050,26500,27200,25600,5700,full,full,137375,1,Team Spirit,2,0,cc72eab6abebddfb
8,54552,67585,55832,69341,61413,75999,61861,76556,HEROIC,Team Spirit,2,6,3,2,18000,69300,12050,28350,7300,13100,semi,full,107035,8,HEROIC,3,0,cc72eab6abebddfb
9,64018,79341,65298,81175,72658,90161,73106,90696,HEROIC,Team Spirit,3,6,3,2,28750,63200,28500,27150,11050,26450,full,full,137642,12,HEROIC,3,0,cc72eab6abebddfb
10,73106,90696,74386,92501,80461,99906,80909,100445,HEROIC,Team Spirit,4,6,3,2,34550,44850,31000,27150,20200,20700,full,full,117161,7,HEROIC,3,0,cc72eab6abebddfb
11,82893,103164,84173,105040,91959,114442,92407,114984,HEROIC,Team Spirit,4,7,3,2,33650,40350,32200,27250,18150,26450,full,full,143468,1,Team Spirit,2,0,cc72eab6abebddfb
12,92407,114984,93687,116797,100325,124725,103813,128654,HEROIC,Team Spirit,4,8,3,2,25700,32800,24900,28350,23900,18100,full,full,123916,9,Team Spirit,2,0,cc72eab6abebddfb
13,103813,128654,105509,130966,114493,141351,114941,141883,HEROIC,Team Spirit,5,8,2,3,4000,4000,4350,5450,3350,3350,pistol,pistol,161519,1,HEROIC,2,0,cc72eab6abebddfb
14,117195,144577,143494,175310,150727,183834,151175,184360,HEROIC,Team Spirit,6,8,2,3,19650,10750,20300,10300,18550,9500,full,force-buy,499392,9,HEROIC,2,0,cc72eab6abebddfb
15,151175,184360,152455,186158,156554,191098,157002,191624,HEROIC,Team Spirit,7,8,2,3,19450,14750,19600,4500,14700,4100,semi,eco,85714,1,HEROIC,2,0,cc72eab6abebddfb
16,157002,191624,158282,193490,165642,202240,166090,202777,HEROIC,Team Spirit,7,9,2,3,23750,25450,24600,27000,8950,25000,full,full,135047,12,Team Spirit,3,0,cc72eab6abebddfb
17,166090,202777,167370,204672,173384,212003,173832,212539,HEROIC,Team Spirit,7,10,2,3,18700,17400,24650,28800,14800,6100,full,full,117364,8,Team Spirit,3,0,cc72eab6abebddfb
18,173832,212539,175112,214366,179562,219779,180010,220320,HEROIC,Team Spirit,7,11,2,3,13800,29050,1800,29400,1000,15100,eco,full,92100,7,Team Spirit,3,0,cc72eab6abebddfb
19,180010,220320,181290,222298,184744,226557,185192,227118,HEROIC,Team Spirit,7,12,2,3,28700,33250,26650,28450,25650,12650,full,full,79341,8,Team Spirit,3,0,cc72eab6abebddfb
20,185192,227118,186472,229096,189328,232694,189328,232694,HEROIC,Team Spirit,7,13,2,3,17750,40650,18500,29900,17700,15250,force-buy,full,70932,8,Team Spirit,3,0,cc72eab6abebddfb
