number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1017,1321,2712,3482,8492,10118,8940,10658,Team Liquid,Team Spirit,0,1,3,2,4000,4000,4250,4650,3250,3450,pistol,pistol,111570,9,Team Spirit,2,0,8855159dbc2f9b32
2,8940,10658,10220,12454,17347,20893,17795,21433,Team Liquid,Team Spirit,0,2,3,2,10850,18600,9600,16500,9600,15700,force-buy,semi,129808,9,Team Spirit,2,0,8855159dbc2f9b32
3,17795,21433,19075,23222,26410,31836,26858,32383,Team Liquid,Team Spirit,0,3,3,2,14150,21850,3100,18650,2900,11950,eco,semi,131939,1,Team Spirit,2,0,8855159dbc2f9b32
4,26858,32383,28138,34131,34973,42330,35421,42851,Team Liquid,Team Spirit,1,3,3,2,26050,29800,26700,26250,25500,13650,full,full,126155,8,Team Liquid,3,0,8855159dbc2f9b32
5,35421,42851,36701,44656,41810,50906,42258,51427,Team Liquid,Team Spirit,1,4,3,2,18100,23850,28850,23950,16050,22750,full,full,102159,1,Team Spirit,2,0,8855159dbc2f9b32
6,42258,51427,43538,53285,51539,62939,51987,63499,Team Liquid,Team Spirit,2,4,3,2,14250,19100,27000,25400,11750,14950,full,full,146004,7,Team Liquid,3,0,8855159dbc2f9b32
7,53999,66034,55279,67747,61716,75445,62164,75966,Team Liquid,Team Spirit,2,5,3,2,21100,15050,29550,11450,14900,5000,full,semi,119357,1,Team Spirit,2,0,8855159dbc2f9b32
8,62164,75966,63444,77813,68293,83687,68741,84258,Team Liquid,Team Spirit,2,6,3,2,15700,27950,29350,27250,9200,14000,full,full,97923,9,Team Spirit,2,0,8855159dbc2f9b32
9,71125,87203,72405,88862,80240,97969,80688,98495,Team Liquid,Team Spirit,2,7,3,2,18800,31800,7250,27650,7050,8200,semi,full,136542,1,Team Spirit,2,0,8855159dbc2f9b32
10,80688,98495,81968,100264,89328,109058,89776,109586,Team Liquid,Team Spirit,3,7,3,2,27150,42100,28800,27350,20150,16900,full,full,133968,12,Team Liquid,3,0,8855159dbc2f9b32
11,91802,112261,93082,114091,99810,122238,100258,122792,Team Liquid,Team Spirit,4,7,3,2,24450,31400,32500,27250,15050,22150,full,full,126536,8,Team Liquid,3,0,8855159dbc2f9b32
12,100258,122792,101538,124603,107951,132407,111439,136311,Team Liquid,Team Spirit,5,7,3,2,26550,19650,33000,23050,18600,19300,full,full,121944,7,Team Liquid,3,0,8855159dbc2f9b32
13,111439,136311,113135,138543,120257,146792,120705,147325,Team Liquid,Team Spirit,6,7,2,3,4000,4000,4350,5350,3550,3450,pistol,pistol,132928,9,Team Liquid,2,0,8855159dbc2f9b32
14,120705,147325,121985,149231,128039,156581,128487,157131,Team Liquid,Team Spirit,6,8,2,3,18500,11250,18700,10900,17700,10300,semi,force-buy,117391,8,Team Spirit,3,0,8855159dbc2f9b32
15,128487,157131,129767,158912,133746,163827,134194,164370,Team Liquid,Team Spirit,6,9,2,3,8100,18700,1000,24150,0,14400,eco,full,84923,8,Team Spirit,3,0,8855159dbc2f9b32
16,134194,164370,135474,166148,137679,169038,138127,169639,Team Liquid,Team Spirit,6,10,2,3,17600,22650,7250,24150,7750,3300,semi,full,59203,8,Team Spirit,3,0,8855159dbc2f9b32
17,138127,169639,139407,171392,147988,181696,148436,182235,Team Liquid,Team Spirit,6,11,2,3,22150,37100,22800,27100,21800,10300,full,full,152916,7,Team Spirit,3,0,8855159dbc2f9b32
18,150420,184788,151700,186640,159060,195545,159508,196081,Team Liquid,Team Spirit,6,12,2,3,18750,45900,19400,30050,18400,14900,force-buy,full,136428,12,Team Spirit,3,0,8855159dbc2f9b32
19,161740,198965,163020,200779,169648,208747,170096,209270,Team Liquid,Team Spirit,7,12,2,3,14250,48550,14600,31350,13800,12200,force-buy,full,124063,1,Team Liquid,2,0,8855159dbc2f9b32
20,170096,209270,171376,211014,176887,217736,177335,218294,Team Liquid,Team Spirit,8,12,2,3,19450,44550,21200,30850,16000,23500,full,full,107372,1,Team Liquid,2,0,8855159dbc2f9b32
21,179614,221388,180894,223274,189397,233318,189845,233850,Team Liquid,Team Spirit,9,12,2,3,21850,30650,25400,28850,7800,11900,full,full,151305,1,Team Liquid,2,0,8855159dbc2f9b32
22,189845,233850,191125,235583,196747,242315,197195,242844,Team Liquid,Team Spirit,10,12,2,3,33050,31650,27350,28250,18650,23150,full,full,107359,9,Team Liquid,2,0,8855159dbc2f9b32
23,197195,242844,198475,244699,204245,251653,204693,252186,Team Liquid,Team Spirit,11,12,2,3,32450,23600,27950,24250,13200,23250,full,full,111722,9,Team Liquid,2,0,8855159dbc2f9b32
24,204693,252186,205973,254074,212663,262125,212663,262125,Team Liquid,Team Spirit,11,13,2,3,22300,18250,28150,18650,22000,17650,full,force-buy,126054,8,Team Spirit,3,0,8855159dbc2f9b32
