steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198838822582,Mzinho,3,800,650,850,pistol,1,4267d9c850749520
76561198355739212,torzsi,2,800,650,1150,pistol,1,4267d9c850749520
76561198193174134,xertioN,2,800,650,850,pistol,1,4267d9c850749520
76561199203563345,910,3,800,650,850,pistol,1,4267d9c850749520
76561198138828475,Brollan,2,800,650,1350,pistol,1,4267d9c850749520
76561198855375325,Jimpphat,2,800,650,850,pistol,1,4267d9c850749520
76561198959824088,bLitz,3,800,650,850,pistol,1,4267d9c850749520
76561198920720017,Senzu,3,800,650,850,pistol,1,4267d9c850749520
76561198966340160,Techno4K,3,800,650,850,pistol,1,4267d9c850749520
76561198150673360,siuhy,2,800,800,1000,pistol,1,4267d9c850749520
76561198838822582,Mzinho,3,3700,3550,3750,semi,2,4267d9c850749520
76561198959824088,bLitz,3,4000,3900,4400,semi,2,4267d9c850749520
76561198355739212,torzsi,2,2050,0,200,eco,2,4267d9c850749520
76561198920720017,Senzu,3,3700,3350,3550,semi,2,4267d9c850749520
76561198966340160,Techno4K,3,3700,3550,3750,semi,2,4267d9c850749520
76561199203563345,910,3,3400,3400,4250,semi,2,4267d9c850749520
76561198138828475,Brollan,2,2650,700,700,eco,2,4267d9c850749520
76561198150673360,siuhy,2,2200,0,200,eco,2,4267d9c850749520
76561198855375325,Jimpphat,2,2050,0,200,eco,2,4267d9c850749520
76561198193174134,xertioN,2,2050,0,200,eco,2,4267d9c850749520
76561198838822582,Mzinho,3,4000,1100,3750,semi,3,4267d9c850749520
76561198966340160,Techno4K,3,3400,400,4650,full,3,4267d9c850749520
76561199203563345,910,3,3850,2700,5800,full,3,4267d9c850749520
76561198959824088,bLitz,3,3650,1000,5400,full,3,4267d9c850749520
76561198355739212,torzsi,2,4450,4400,4600,full,3,4267d9c850749520
76561198193174134,xertioN,2,4450,4400,4600,full,3,4267d9c850749520
76561198920720017,Senzu,3,4200,3900,5400,full,3,4267d9c850749520
76561198138828475,Brollan,2,4350,4200,4400,full,3,4267d9c850749520
76561198150673360,siuhy,2,4600,4600,4800,full,3,4267d9c850749520
76561198855375325,Jimpphat,2,4750,4700,4900,full,3,4267d9c850749520
76561198838822582,Mzinho,3,6750,5700,5800,full,4,4267d9c850749520
76561198193174134,xertioN,2,3250,1850,1850,semi,4,4267d9c850749520
76561198966340160,Techno4K,3,6250,5350,4150,semi,4,4267d9c850749520
76561198138828475,Brollan,2,3050,1450,1450,semi,4,4267d9c850749520
76561198150673360,siuhy,2,3200,1000,1000,eco,4,4267d9c850749520
76561198855375325,Jimpphat,2,2950,1650,1650,semi,4,4267d9c850749520
76561198959824088,bLitz,3,5900,1000,5500,full,4,4267d9c850749520
76561198355739212,torzsi,2,2950,300,600,eco,4,4267d9c850749520
76561198920720017,Senzu,3,3850,500,5100,full,4,4267d9c850749520
76561199203563345,910,3,5300,2700,8150,full,4,4267d9c850749520
76561198193174134,xertioN,2,4800,4700,4900,full,5,4267d9c850749520
76561198920720017,Senzu,3,6600,1000,4900,full,5,4267d9c850749520
