frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
5650,4611,1,apEX,76561197989744167,3,Vitality," karrigan",76561197989430253,2,FaZe Clan,,0,0,,USP-S,pistol,1,0,0,0,0,0,1405.498779,-2410.869385,-475.628296,0,0,605.772827,-2021.615601,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,22.608593,c243fc28328815c
5728,4682,1,apEX,76561197989744167,3,Vitality,rain,76561197997351207,2,FaZe Clan," ZywOo",76561198113666193,3,Vitality,USP-S,pistol,1,0,0,0,0,0,1327.809326,-2442.872314,-423.835327,0,0,698.636108,-1831.323975,-407.968750,0,0,0,1264.002563,-440.619141,-415.968750,0,0,0,0,22.233786,c243fc28328815c
6099,5009,1,frozen,76561198068422762,2,FaZe Clan,mezii,76561197973140692,3,Vitality,,0,0,,Glock-18,pistol,1,0,0,0,0,0,746.298279,-852.185852,-399.968262,0,0,914.167603,-533.324341,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,9.079487,c243fc28328815c
6736,5566,1," flameZ",76561197978835160,3,Vitality,frozen,76561198068422762,2,FaZe Clan,,0,0,,USP-S,pistol,1,0,0,0,0,0,969.290161,-435.077881,-127.968750,0,0,795.475220,-790.032227,-399.968262,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,12.191184,c243fc28328815c
6791,5615,1," flameZ",76561197978835160,3,Vitality,broky,76561198201620490,2,FaZe Clan,Spinx,76561198063336407,3,Vitality,USP-S,pistol,0,0,0,0,0,0,982.005188,-451.475403,-127.968750,0,0,788.358887,-772.857422,-399.968262,0,0,0,958.016235,-305.282837,-127.968750,0,0,0,0,11.709538,c243fc28328815c
6846,5670,1," flameZ",76561197978835160,3,Vitality,ropz,76561197991272318,2,FaZe Clan,,0,0,,USP-S,pistol,1,0,0,0,0,0,978.240479,-618.361816,-127.968750,0,0,335.067993,-1426.160034,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,27.138712,c243fc28328815c
12455,9993,2," ZywOo",76561198113666193,3,Vitality,rain,76561197997351207,2,FaZe Clan,,0,0,,M4A1,rifle,1,0,0,0,0,0,1818.288696,-1636.314575,-415.968750,0,0,687.519409,-2371.833740,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,34.264133,c243fc28328815c
12703,10199,2,apEX,76561197989744167,3,Vitality," karrigan",76561197989430253,2,FaZe Clan,,0,0,,M4A1,rifle,1,0,0,0,0,0,1392.510986,-2384.036133,-466.969727,0,0,591.296265,-2306.242676,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,20.454908,c243fc28328815c
12795,10279,2,apEX,76561197989744167,3,Vitality,broky,76561198201620490,2,FaZe Clan,,0,0,,M4A1,rifle,0,0,0,0,0,0,1402.636719,-2437.765381,-473.720215,0,0,596.261414,-2313.597656,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,20.757402,c243fc28328815c
12889,10353,2,Spinx,76561198063336407,3,Vitality,frozen,76561198068422762,2,FaZe Clan,,0,0,,MP9,smg,1,0,0,0,0,0,1074.956665,-1642.289673,-415.968750,0,0,259.570587,-2239.979736,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,25.682005,c243fc28328815c
13229,10654,2,ropz,76561197991272318,2,FaZe Clan," ZywOo",76561198113666193,3,Vitality,,0,0,,Desert Eagle,pistol,1,0,0,0,0,0,165.015808,-2043.479736,-415.968750,0,1,1893.874146,-2037.444946,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,43.915665,c243fc28328815c
13448,10847,2,apEX,76561197989744167,3,Vitality,ropz,76561197991272318,2,FaZe Clan,Spinx,76561198063336407,3,Vitality,M4A1,rifle,1,0,0,0,0,0,1211.589722,-2107.468994,-407.968750,0,0,153.040710,-2047.301880,-415.968750,0,0,0,980.173157,-1977.046997,-415.968750,1,0,0,0,26.936892,c243fc28328815c
17002,13445,3,apEX,76561197989744167,3,Vitality,frozen,76561198068422762,2,FaZe Clan,,0,0,,M4A1,rifle,1,0,0,0,0,0,1453.386230,-1835.748169,-227.968750,0,0,-18.908936,-1484.289429,-39.535767,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,38.729248,c243fc28328815c
17675,14033,3,ropz,76561197991272318,2,FaZe Clan,mezii,76561197973140692,3,Vitality,,0,0,,AK-47,rifle,0,0,0,0,0,0,244.714417,-1060.796143,-412.819458,0,0,671.096802,-637.140930,-206.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,16.319580,c243fc28328815c
