frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
1801,1475,1,76561198113666193,3," ZywOo",Kevlar Vest,equipment,01JM62ES3VXDSF5NWWEGA7NS4K,0,c243fc28328815c
1825,1488,1,76561198201620490,2,broky,Kevlar Vest,equipment,01JM62ES3WXY9TMZ7QQEM7H304,0,c243fc28328815c
1839,1495,1,76561198068422762,2,frozen,Kevlar Vest,equipment,01JM62ES3WXY9TMZ7QQH5G8EH3,0,c243fc28328815c
1848,1502,1,76561198063336407,3,Spinx,Kevlar Vest,equipment,01JM62ES3WXY9TMZ7QQMKHZM96,0,c243fc28328815c
1902,1532,1,76561197989430253,2," karrigan",Flashbang,grenade,01JM62ES3X2KKC8SCQ9Q7PENBG,0,c243fc28328815c
1931,1551,1,76561197989430253,2," karrigan",Smoke Grenade,grenade,01JM62ES3X2KKC8SCQ9V6FJ2PG,0,c243fc28328815c
1932,1552,1,76561197997351207,2,rain,Kevlar Vest,equipment,01JM62ES3X2KKC8SCQ9V9BJE4M,0,c243fc28328815c
1976,1586,1,76561197989430253,2," karrigan",P250,pistol,01JM62ES3YGKAESMJZT725D8V5,0,c243fc28328815c
2118,1680,1,76561197991272318,2,ropz,Kevlar Vest,equipment,01JM62ES4283YNBYZ4X8M4M63T,0,c243fc28328815c
2233,1754,1,76561197973140692,3,mezii,Kevlar Vest,equipment,01JM62ES44182P4X4M1Y42AW4C,0,c243fc28328815c
2366,1849,1,76561197978835160,3," flameZ",Kevlar Vest,equipment,01JM62ES465W0Q4AASGV2FQFP4,0,c243fc28328815c
2445,1910,1,76561197989744167,3,apEX,Kevlar Vest,equipment,01JM62ES47R1Y7QMEQQHVRF720,0,c243fc28328815c
8353,6921,2,76561198113666193,3," ZywOo",Kevlar + Helmet,equipment,01JM62ESAW4DHDNZ250XG2WN6C,0,c243fc28328815c
8482,6989,2,76561198068422762,2,frozen,Desert Eagle,pistol,01JM62ESAZGDWYF2C1AZK9TXJ9,0,c243fc28328815c
8503,7002,2,76561197978835160,3," flameZ",M4A1,rifle,01JM62ESAZGDWYF2C1B1F16CPG,0,c243fc28328815c
8518,7013,2,76561197978835160,3," flameZ",Kevlar + Helmet,equipment,01JM62ESAZGDWYF2C1B2Y4B9WE,0,c243fc28328815c
8533,7019,2,76561197989744167,3,apEX,M4A1,rifle,01JM62ESB0J2N19ZAK51D21DAC,0,c243fc28328815c
8533,7019,2,76561197997351207,2,rain,Desert Eagle,pistol,01JM62ESB0J2N19ZAK52BJBH8G,0,c243fc28328815c
8588,7050,2,76561197978835160,3," flameZ",Smoke Grenade,grenade,01JM62ESB19YN95K170Z4HD78Z,0,c243fc28328815c
8597,7056,2,76561197973140692,3,mezii,Kevlar + Helmet,equipment,01JM62ESB19YN95K1711KVCJXZ,0,c243fc28328815c
8605,7063,2,76561197978835160,3," flameZ",Flashbang,grenade,01JM62ESB19YN95K1712800F9Q,0,c243fc28328815c
8610,7068,2,76561197978835160,3," flameZ",Incendiary Grenade,grenade,01JM62ESB19YN95K1715B17838,0,c243fc28328815c
8612,7070,2,76561197978835160,3," flameZ",HE Grenade,grenade,01JM62ESB19YN95K17199JTEY0,0,c243fc28328815c
8641,7087,2,76561197991272318,2,ropz,Desert Eagle,pistol,01JM62ESB2FQQ5ZXSQQ34DN76C,0,c243fc28328815c
8656,7096,2,76561198113666193,3," ZywOo",M4A1,rifle,01JM62ESB2FQQ5ZXSQQ5TS1JPB,0,c243fc28328815c
8705,7125,2,76561197989744167,3,apEX,Kevlar + Helmet,equipment,01JM62ESB33R6JG2F4TP0W80V3,0,c243fc28328815c
8741,7155,2,76561197973140692,3,mezii,FAMAS,rifle,01JM62ESB33R6JG2F4TSA9KSHP,1,c243fc28328815c
8767,7177,2,76561197973140692,3,mezii,Smoke Grenade,grenade,01JM62ESB4DN3N6XNXYNAVCDYE,0,c243fc28328815c
8797,7201,2,76561197989744167,3,apEX,Smoke Grenade,grenade,01JM62ESB4DN3N6XNXYS0EKQ9M,0,c243fc28328815c
8874,7266,2,76561197989744167,3,apEX,Incendiary Grenade,grenade,01JM62ESB56HG7JDB7RF43Y1K9,0,c243fc28328815c
8946,7318,2,76561197989744167,3,apEX,Flashbang,grenade,01JM62ESB6NH9JVHSNWHWY944B,0,c243fc28328815c
9011,7362,2,76561197973140692,3,mezii,MP9,smg,01JM62ESB7S1E0G55RMR6SWVVW,0,c243fc28328815c
9045,7382,2,76561197973140692,3,mezii,Incendiary Grenade,grenade,01JM62ESB8NNQV26QRRKDK8DT9,0,c243fc28328815c
9054,7387,2,76561198063336407,3,Spinx,MP9,smg,01JM62ESB8NNQV26QRRKFSATF9,0,c243fc28328815c
