number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1018,1304,2712,3468,6440,7739,6888,8294,Vitality,FaZe Clan,1,0,3,2,4000,4000,4250,4700,3250,3400,pistol,pistol,81580,7,Vitality,3,0,c243fc28328815c
2,6888,8294,8168,10216,10847,13448,11295,13993,Vitality,FaZe Clan,2,0,3,2,20050,13700,23100,3300,19650,3100,full,eco,65340,8,Vitality,3,0,c243fc28328815c
3,11295,13993,12575,15828,19928,24172,20376,24692,Vitality,FaZe Clan,3,0,3,2,18450,22900,26950,23500,8900,22500,full,full,129045,7,Vitality,3,0,c243fc28328815c
4,20376,24692,21656,26588,25935,31755,26383,32309,Vitality,FaZe Clan,4,0,3,2,28850,19400,27700,12150,22400,11950,full,semi,89541,8,Vitality,3,0,c243fc28328815c
5,26383,32309,27663,34304,34301,42221,34749,42748,Vitality,FaZe Clan,5,0,3,2,24200,24750,27850,24100,9250,23100,full,full,125660,8,Vitality,3,0,c243fc28328815c
6,36733,45477,38013,47380,40721,50768,41169,51341,Vitality,FaZe Clan,6,0,3,2,32700,19550,28400,12000,18950,12000,full,semi,67077,8,Vitality,3,0,c243fc28328815c
7,41169,51341,42449,53237,45886,57534,46334,58106,Vitality,FaZe Clan,7,0,3,2,31500,24850,28150,25000,7850,23800,full,full,78512,8,Vitality,3,0,c243fc28328815c
8,46334,58106,47614,59918,51009,64120,51457,64686,Vitality,FaZe Clan,8,0,3,2,41400,18350,27500,12250,9200,11750,full,semi,76243,8,Vitality,3,0,c243fc28328815c
9,53638,67707,54918,69592,63329,79650,63777,80202,Vitality,FaZe Clan,8,1,3,2,49950,23600,28200,23800,4800,22800,full,full,151408,1,FaZe Clan,2,0,c243fc28328815c
10,63777,80202,65057,81968,73266,91566,73714,92121,Vitality,FaZe Clan,8,2,3,2,52750,19800,28950,25300,23750,13200,full,full,144068,1,FaZe Clan,2,0,c243fc28328815c
11,75835,95116,77115,96839,82642,103679,83090,104227,Vitality,FaZe Clan,8,3,3,2,38800,25600,28650,25300,23900,9550,full,full,108558,9,FaZe Clan,2,0,c243fc28328815c
12,83090,104227,84370,106163,87911,110574,91399,114496,Vitality,FaZe Clan,8,4,3,2,27500,34100,26500,26300,25200,15600,full,full,80464,9,FaZe Clan,2,0,c243fc28328815c
13,91399,114496,93095,116762,100557,125208,101005,125738,Vitality,FaZe Clan,9,4,2,3,4000,4000,4200,4000,3400,3400,pistol,pistol,135802,1,Vitality,2,0,c243fc28328815c
14,101005,125738,102285,127557,111419,138046,111867,138568,Vitality,FaZe Clan,10,4,2,3,19600,10700,19000,1700,17800,500,semi,eco,156036,1,Vitality,2,0,c243fc28328815c
15,111867,138568,113147,140433,117929,146149,118377,146677,Vitality,FaZe Clan,10,5,2,3,21700,23100,22350,25300,14900,21300,full,full,96108,8,FaZe Clan,3,0,c243fc28328815c
16,118377,146677,119657,148513,127717,157865,128165,158426,Vitality,FaZe Clan,10,6,2,3,15300,19550,4200,23700,3800,17600,eco,full,141837,7,FaZe Clan,3,0,c243fc28328815c
17,128165,158426,129445,160279,134384,166345,134832,166890,Vitality,FaZe Clan,11,6,2,3,25200,21550,24600,28050,23800,18850,full,full,100394,9,Vitality,2,0,c243fc28328815c
18,137049,169768,138329,171502,145981,180408,146429,180957,Vitality,FaZe Clan,12,6,2,3,19450,10600,24800,11550,14800,10450,full,force-buy,134889,1,Vitality,2,0,c243fc28328815c
19,146429,180957,147709,182787,156434,192951,156434,192951,Vitality,FaZe Clan,13,6,2,3,32500,13750,24900,18400,8600,10000,full,force-buy,152055,9,Vitality,2,0,c243fc28328815c
