frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
9550,7821,1,2,3,0,76561198068422762,frozen,0,1,bc1d6ce5a6d3a4b7
9980,8201,1,1,2,1,76561198063336407,Spinx,0,1,bc1d6ce5a6d3a4b7
16164,13053,2,5,3,0,76561197997351207,rain,0,0,bc1d6ce5a6d3a4b7
24522,19555,3,4,2,0,76561197973140692,mezii,0,1,bc1d6ce5a6d3a4b7
32163,25566,4,4,3,0,76561197989430253," karrigan",0,0,bc1d6ce5a6d3a4b7
42415,34647,5,4,3,0,76561197991272318,ropz,0,0,bc1d6ce5a6d3a4b7
52952,43613,6,4,2,0,76561197973140692,mezii,0,0,bc1d6ce5a6d3a4b7
62680,51370,7,3,2,0,76561198063336407,Spinx,0,1,bc1d6ce5a6d3a4b7
72490,59378,8,4,2,0,76561197989744167,apEX,0,1,bc1d6ce5a6d3a4b7
85816,69990,9,5,2,0,76561197978835160," flameZ",0,1,bc1d6ce5a6d3a4b7
90580,73783,10,5,2,0,76561197973140692,mezii,0,0,bc1d6ce5a6d3a4b7
100507,81610,11,3,2,0,76561197978835160," flameZ",0,0,bc1d6ce5a6d3a4b7
110135,88953,12,3,3,0,76561198201620490,broky,0,1,bc1d6ce5a6d3a4b7
120635,97740,13,4,3,0,76561197973140692,mezii,0,0,bc1d6ce5a6d3a4b7
144004,116980,15,3,2,0,76561197989430253," karrigan",0,0,bc1d6ce5a6d3a4b7
153582,124526,16,3,2,0,76561198201620490,broky,0,0,bc1d6ce5a6d3a4b7
163160,132166,17,4,2,0,76561197997351207,rain,0,0,bc1d6ce5a6d3a4b7
171978,138855,18,2,3,0,76561197978835160," flameZ",0,1,bc1d6ce5a6d3a4b7
173016,139759,18,1,2,1,76561198068422762,frozen,1,1,bc1d6ce5a6d3a4b7
206752,166992,21,3,3,0,76561198063336407,Spinx,0,0,bc1d6ce5a6d3a4b7
