frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
1815,1475,1,76561198014259134,2,FL4MUS,Kevlar Vest,equipment,01JM62G0Z6NHED2PZ6EYJN22DR,0,2740f54047c83411
1877,1521,1,76561198113666193,3," ZywOo",Kevlar Vest,equipment,01JM62G0Z8VZ6BHYFQJY1CS2CQ,0,2740f54047c83411
1884,1526,1,76561198155754447,2,volt,Kevlar Vest,equipment,01JM62G0Z8VZ6BHYFQK16F1CMN,0,2740f54047c83411
1885,1527,1,76561198316706174,2,Tauson,Kevlar Vest,equipment,01JM62G0Z8VZ6BHYFQK16YB83A,0,2740f54047c83411
1897,1535,1,76561199009468655,2,ztr,Dual Berettas,pistol,01JM62G0Z8VZ6BHYFQK25MKY9Y,1,2740f54047c83411
1990,1597,1,76561199009468655,2,ztr,P250,pistol,01JM62G0ZAHTCB6VPJNKM0YNXR,0,2740f54047c83411
2015,1622,1,76561197973140692,3,mezii,Kevlar Vest,equipment,01JM62G0ZAHTCB6VPJNQA02VNQ,0,2740f54047c83411
2036,1639,1,76561197989744167,3,apEX,Defuse Kit,equipment,01JM62G0ZBAG6912E9ZHXSV0YF,0,2740f54047c83411
2061,1658,1,76561198098071693,2,sl3nd,Kevlar Vest,equipment,01JM62G0ZBAG6912E9ZKAQPRY9,0,2740f54047c83411
2146,1722,1,76561198063336407,3,Spinx,Kevlar Vest,equipment,01JM62G0ZCQSMT4DZM25YS2KC5,0,2740f54047c83411
2162,1733,1,76561197989744167,3,apEX,HE Grenade,grenade,01JM62G0ZCQSMT4DZM26YMMF7X,0,2740f54047c83411
2171,1739,1,76561199009468655,2,ztr,Smoke Grenade,grenade,01JM62G0ZCQSMT4DZM29EYQYEM,0,2740f54047c83411
2183,1751,1,76561199009468655,2,ztr,Flashbang,grenade,01JM62G0ZD8NHD1P1E0R30T3DR,0,2740f54047c83411
2255,1812,1,76561197978835160,3," flameZ",Kevlar Vest,equipment,01JM62G0ZE0X0CBY58B3KAM6WS,0,2740f54047c83411
13025,11151,2,76561198316706174,2,Tauson,Kevlar + Helmet,equipment,01JM62G1B1AAW5K8AXATX15HHW,0,2740f54047c83411
13086,11191,2,76561198014259134,2,FL4MUS,MAC-10,smg,01JM62G1B22KYHSC41TR09FXAS,0,2740f54047c83411
13099,11200,2,76561198316706174,2,Tauson,AK-47,rifle,01JM62G1B3VYDQ75FQ39RX38DP,0,2740f54047c83411
13121,11217,2,76561198014259134,2,FL4MUS,Kevlar + Helmet,equipment,01JM62G1B3VYDQ75FQ3D1C9YBG,0,2740f54047c83411
13139,11231,2,76561198316706174,2,Tauson,Smoke Grenade,grenade,01JM62G1B3VYDQ75FQ3D3RVXQ4,0,2740f54047c83411
13192,11277,2,76561198316706174,2,Tauson,Molotov,grenade,01JM62G1B45PAHYPBSEB0C6A0R,0,2740f54047c83411
13203,11285,2,76561198155754447,2,volt,Kevlar + Helmet,equipment,01JM62G1B45PAHYPBSEDJR5DJY,0,2740f54047c83411
13217,11295,2,76561198316706174,2,Tauson,Flashbang,grenade,01JM62G1B45PAHYPBSEGAN5NS9,0,2740f54047c83411
13337,11369,2,76561198155754447,2,volt,Galil AR,rifle,01JM62G1B6M7NYYWEKH36NNJ5W,0,2740f54047c83411
13388,11398,2,76561198014259134,2,FL4MUS,Smoke Grenade,grenade,01JM62G1B74TZM6GS7QVTY2GPN,0,2740f54047c83411
13434,11433,2,76561198155754447,2,volt,Smoke Grenade,grenade,01JM62G1B84PWMV087SDS3Y4MH,0,2740f54047c83411
13438,11437,2,76561198155754447,2,volt,Flashbang,grenade,01JM62G1B84PWMV087SGG1CBHS,0,2740f54047c83411
13476,11473,2,76561199009468655,2,ztr,Kevlar + Helmet,equipment,01JM62G1B84PWMV087SJ2NNGBR,0,2740f54047c83411
13539,11519,2,76561199009468655,2,ztr,MAC-10,smg,01JM62G0XXBSKSDKBYTR3E5RQK,0,2740f54047c83411
13626,11591,2,76561199009468655,2,ztr,Smoke Grenade,grenade,01JM62G0XXBSKSDKBYTQNSN8AD,0,2740f54047c83411
13628,11593,2,76561199009468655,2,ztr,Molotov,grenade,01JM62G0XXBSKSDKBYTKVQ42TS,0,2740f54047c83411
13652,11610,2,76561199009468655,2,ztr,Flashbang,grenade,01JM62G0XXBSKSDKBYTG2NGTGE,0,2740f54047c83411
13758,11699,2,76561198113666193,3," ZywOo",MP9,smg,01JM62G0XXBSKSDKBYTAZN6PBB,1,2740f54047c83411
13771,11710,2,76561198113666193,3," ZywOo",Kevlar + Helmet,equipment,01JM62G1BEWZ0X84BQRAP995A2,0,2740f54047c83411
13778,11716,2,76561198098071693,2,sl3nd,Kevlar + Helmet,equipment,01JM62G1BEWZ0X84BQRD1MSDMY,0,2740f54047c83411
13792,11722,2,76561197973140692,3,mezii,Kevlar Vest,equipment,01JM62G1BEWZ0X84BQREAQA8AS,0,2740f54047c83411
13799,11724,2,76561197989744167,3,apEX,CZ75 Auto,pistol,01JM62G0XXBSKSDKBYSVSAE1RD,0,2740f54047c83411
13803,11725,2,76561198098071693,2,sl3nd,AK-47,rifle,01JM62G0XXBSKSDKBYTV880FRN,0,2740f54047c83411
13840,11755,2,76561197973140692,3,mezii,MP9,smg,01JM62G0XXBSKSDKBYSZDZ14GB,0,2740f54047c83411
13920,11817,2,76561197989744167,3,apEX,Kevlar Vest,equipment,01JM62G1BGX50J9EG3RMFB7VZP,0,2740f54047c83411
13929,11822,2,76561197989744167,3,apEX,Smoke Grenade,grenade,01JM62G0XXBSKSDKBYTTRR3FAW,0,2740f54047c83411
13942,11832,2,76561197989744167,3,apEX,Flashbang,grenade,01JM62G0XXBSKSDKBYST1CCPW5,0,2740f54047c83411
