frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
1773,1476,1,76561197989744167,2,apEX,Flashbang,grenade,01JM62GHG75TZ62N0ESXDZRF95,0,294467d4121747c
1775,1477,1,76561197989744167,2,apEX,Smoke Grenade,grenade,01JM62GHG75TZ62N0ESYQY586J,0,294467d4121747c
1789,1489,1,76561198113666193,2," ZywOo",Kevlar Vest,equipment,01JM62GHG75TZ62N0ET2HFQ8QY,0,294467d4121747c
1863,1536,1,76561198010496342,3,exit,Kevlar Vest,equipment,01JM62GHG8MH144M1A6B0PSV9C,0,294467d4121747c
1869,1540,1,76561197973140692,2,mezii,Kevlar Vest,equipment,01JM62GHG8MH144M1A6CXGW0NW,0,294467d4121747c
1909,1571,1,76561198157388473,3,Lucaozy,Kevlar Vest,equipment,01JM62GHG9HDQYSQDDQZ5KYQS8,0,294467d4121747c
2033,1661,1,76561198388056582,3,drop,Dual Berettas,pistol,01JM62GHG05E3JRMY02ZMBS309,0,294467d4121747c
2079,1688,1,76561198388056582,3,drop,Smoke Grenade,grenade,01JM62GHG05E3JRMY02YDGQXJ5,0,294467d4121747c
2119,1720,1,76561197985565685,3," saffee",Kevlar Vest,equipment,01JM62GHGDHGCQFWDJNYCPBBH4,0,294467d4121747c
2165,1757,1,76561197978835160,2," flameZ",Kevlar Vest,equipment,01JM62GHGE2SRXJN008KVX52JY,0,294467d4121747c
2262,1826,1,76561198063336407,2,Spinx,Kevlar Vest,equipment,01JM62GHGGCX3MR1Y17JG72745,0,294467d4121747c
2448,1976,1,76561198061423730,3,insani,Kevlar Vest,equipment,01JM62GHGJS8YV2EHY47CXSE4D,0,294467d4121747c
2472,1998,1,76561198388056582,3,drop,Flashbang,grenade,01JM62GHGJS8YV2EHY4D73WWAG,0,294467d4121747c
10183,8540,2,76561198113666193,2," ZywOo",Kevlar + Helmet,equipment,01JM62GHT8VZJ3GJ30XNJ1236W,0,294467d4121747c
10209,8557,2,76561198388056582,3,drop,Kevlar Vest,equipment,01JM62GHT8VZJ3GJ30XQEX7XA4,0,294467d4121747c
10234,8576,2,76561198388056582,3,drop,MP9,smg,01JM62GHT9TZGGH5BBFWGK7FSD,0,294467d4121747c
10268,8597,2,76561197978835160,2," flameZ",Kevlar + Helmet,equipment,01JM62GHTA3M1ZAQCC85C9JGZJ,0,294467d4121747c
10372,8659,2,76561198061423730,3,insani,Kevlar Vest,equipment,01JM62GHTBHKW1TXKJ4VBCV65H,0,294467d4121747c
10376,8662,2,76561197973140692,2,mezii,Kevlar + Helmet,equipment,01JM62GHTBHKW1TXKJ4WSASXR9,0,294467d4121747c
10405,8685,2,76561198061423730,3,insani,MP9,smg,01JM62GHTCWME7QQJSC40KDK7E,1,294467d4121747c
10420,8695,2,76561197973140692,2,mezii,Galil AR,rifle,01JM62GHT7X649RR9E458S33GE,0,294467d4121747c
10436,8709,2,76561197973140692,2,mezii,Smoke Grenade,grenade,01JM62GHTCWME7QQJSC6XGCZCC,0,294467d4121747c
10456,8729,2,76561197973140692,2,mezii,Molotov,grenade,01JM62GHT7X649RR9E40V4KM2M,0,294467d4121747c
10510,8776,2,76561197973140692,2,mezii,Flashbang,grenade,01JM62GHTD2XE2RYGYNR02SVXT,1,294467d4121747c
10540,8789,2,76561198010496342,3,exit,MP9,smg,01JM62GHT64426DHBBXRWRTKT5,0,294467d4121747c
10586,8812,2,76561198010496342,3,exit,Kevlar Vest,equipment,01JM62GHTF5YA12H81E6D87RH9,0,294467d4121747c
10643,8851,2,76561197973140692,2,mezii,HE Grenade,grenade,01JM62GHT7X649RR9E43KA1BRP,0,294467d4121747c
10688,8879,2,76561198113666193,2," ZywOo",AK-47,rifle,01JM62GHT64426DHBBXVJY6V9C,0,294467d4121747c
10739,8909,2,76561197989744167,2,apEX,MAC-10,smg,01JM62GHTH2GS7MPNDRSTC6CH7,0,294467d4121747c
10749,8917,2,76561198113666193,2," ZywOo",Molotov,grenade,01JM62GHTH2GS7MPNDRX37HE10,0,294467d4121747c
10751,8919,2,76561198113666193,2," ZywOo",Smoke Grenade,grenade,01JM62GHTH2GS7MPNDRZGPW7NE,0,294467d4121747c
10753,8921,2,76561198113666193,2," ZywOo",Flashbang,grenade,01JM62GHTH2GS7MPNDS0KCGF6V,0,294467d4121747c
10839,8980,2,76561197978835160,2," flameZ",AK-47,rifle,01JM62GHTK7RPX5A4XKGV2Q7VS,0,294467d4121747c
10903,9018,2,76561198157388473,3,Lucaozy,FAMAS,rifle,01JM62GHTM0J922GZGYFGM6BSP,0,294467d4121747c
10911,9023,2,76561197978835160,2," flameZ",Smoke Grenade,grenade,01JM62GHTM0J922GZGYK6X4BSX,0,294467d4121747c
10922,9030,2,76561197989744167,2,apEX,Kevlar + Helmet,equipment,01JM62GHTM0J922GZGYN8HQ45C,0,294467d4121747c
10927,9033,2,76561197978835160,2," flameZ",Molotov,grenade,01JM62GHTM0J922GZGYRDWD1Y1,0,294467d4121747c
10934,9038,2,76561197978835160,2," flameZ",Flashbang,grenade,01JM62GHTM0J922GZGYSVCACQE,0,294467d4121747c
11014,9097,2,76561197989744167,2,apEX,Smoke Grenade,grenade,01JM62GHTNWFQVNBSK2W8JW5B4,0,294467d4121747c
11026,9109,2,76561197989744167,2,apEX,Flashbang,grenade,01JM62GHTPP0HCX7JGAK3DB681,0,294467d4121747c
11035,9118,2,76561197989744167,2,apEX,HE Grenade,grenade,01JM62GHTPP0HCX7JGAMPJSVTZ,0,294467d4121747c
11116,9188,2,76561197989744167,2,apEX,Molotov,grenade,01JM62GHTQ9QJD29D2STNMKGVC,0,294467d4121747c
11131,9198,2,76561198061423730,3,insani,Desert Eagle,pistol,01JM62GHTQ9QJD29D2SWX28VE0,0,294467d4121747c
11181,9233,2,76561197985565685,3," saffee",Kevlar Vest,equipment,01JM62GHTRC6KB24684MYXKCN8,0,294467d4121747c
11190,9238,2,76561198061423730,3,insani,Smoke Grenade,grenade,01JM62GHT64426DHBBY8A3S8KN,0,294467d4121747c
