steamid,name,player_side,equipment_value,type,match_checksum,tournament
76561198104626893,LNZ,Terrorist,900,pistol,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
76561198872013168,tN1R,Terrorist,1050,pistol,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
76561198047876970,Djoko,Counter Terrorist,850,pistol,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
76561198179538505,Graviti,Counter Terrorist,700,pistol,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
76561198309839541,SunPayus,Terrorist,1050,pistol,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
76561198168198200,Ex3rcice,Counter Terrorist,850,pistol,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
76561198045739761,Maka,Counter Terrorist,950,pistol,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
76561198031890115,Lucky,Counter Terrorist,900,pistol,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
76561199137143905,yxngstxr,Terrorist,850,pistol,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
76561198178209109,xfl0ud,Terrorist,850,pistol,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
76561198047876970,Djoko,Counter Terrorist,2950,force-buy,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
76561198179538505,Graviti,Counter Terrorist,2650,force-buy,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
76561198168198200,Ex3rcice,Counter Terrorist,2100,force-buy,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
76561198104626893,LNZ,Terrorist,3350,semi,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
76561198872013168,tN1R,Terrorist,4800,full,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
76561199137143905,yxngstxr,Terrorist,3450,semi,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
76561198178209109,xfl0ud,Terrorist,4100,full,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
76561198309839541,SunPayus,Terrorist,4100,full,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
